#Energy      C   F  Total
       5800.0000          5.23004975E+02          1.65954108E+02          1.25979650E+02
       5900.0000          5.31711947E+02          1.68665468E+02          1.28047310E+02
       6000.0000          5.40412826E+02          1.71374543E+02          1.30113297E+02
       6100.0000          5.49107643E+02          1.74081354E+02          1.32177622E+02
       6200.0000          5.57796429E+02          1.76785919E+02          1.34240299E+02
       6300.0000          5.66479212E+02          1.79488256E+02          1.36301341E+02
       6400.0000          5.75156020E+02          1.82188383E+02          1.38360758E+02
       6500.0000          5.83826879E+02          1.84886318E+02          1.40418562E+02
       6600.0000          5.92491817E+02          1.87582075E+02          1.42474765E+02
       6700.0000          6.01150859E+02          1.90275672E+02          1.44529377E+02
       6800.0000          6.09804028E+02          1.92967123E+02          1.46582408E+02
       6900.0000          6.18451349E+02          1.95656443E+02          1.48633869E+02
       7000.0000          6.27092844E+02          1.98343646E+02          1.50683768E+02
       7100.0000          6.35728536E+02          2.01028746E+02          1.52732116E+02
       7200.0000          6.44358447E+02          2.03711756E+02          1.54778921E+02
       7300.0000          6.52982598E+02          2.06392690E+02          1.56824192E+02
       7400.0000          6.61601009E+02          2.09071560E+02          1.58867937E+02
       7500.0000          6.70213700E+02          2.11748378E+02          1.60910165E+02
       7600.0000          6.78820691E+02          2.14423155E+02          1.62950884E+02
       7700.0000          6.87422000E+02          2.17095904E+02          1.64990101E+02
       7800.0000          6.96017646E+02          2.19766636E+02          1.67027825E+02
       7900.0000          7.04607646E+02          2.22435360E+02          1.69064061E+02
       8000.0000          7.13192019E+02          2.25102088E+02          1.71098818E+02
       8100.0000          7.21770782E+02          2.27766831E+02          1.73132103E+02
       8200.0000          7.30343950E+02          2.30429597E+02          1.75163921E+02
       8300.0000          7.38911540E+02          2.33090397E+02          1.77194281E+02
       8400.0000          7.47473569E+02          2.35749239E+02          1.79223187E+02
       8500.0000          7.56030052E+02          2.38406135E+02          1.81250647E+02
       8600.0000          7.64581003E+02          2.41061091E+02          1.83276666E+02
       8700.0000          7.73126438E+02          2.43714117E+02          1.85301251E+02
       8800.0000          7.81666371E+02          2.46365221E+02          1.87324407E+02
       8900.0000          7.90200817E+02          2.49014413E+02          1.89346140E+02
       9000.0000          7.98729790E+02          2.51661699E+02          1.91366455E+02
       9100.0000          8.07253302E+02          2.54307088E+02          1.93385358E+02
       9200.0000          8.15771368E+02          2.56950587E+02          1.95402855E+02
       9300.0000          8.24284001E+02          2.59592205E+02          1.97418949E+02
       9400.0000          8.32791213E+02          2.62231948E+02          1.99433647E+02
       9500.0000          8.41293017E+02          2.64869824E+02          2.01446952E+02
       9600.0000          8.49789426E+02          2.67505839E+02          2.03458871E+02
       9700.0000          8.58280452E+02          2.70140001E+02          2.05469408E+02
       9800.0000          8.66766106E+02          2.72772316E+02          2.07478567E+02
       9900.0000          8.75246401E+02          2.75402792E+02          2.09486352E+02
      10000.0000          8.83721347E+02          2.78031434E+02          2.11492770E+02
      11000.0000          9.68179075E+02          3.04218350E+02          2.31482581E+02
      12000.0000          1.05211341E+03          3.30228189E+02          2.51339832E+02
      13000.0000          1.13553337E+03          3.56065748E+02          2.71067832E+02
      14000.0000          1.21844696E+03          3.81735128E+02          2.90669424E+02
      15000.0000          1.30086136E+03          4.07239895E+02          3.10147096E+02
      16000.0000          1.38278314E+03          4.32583207E+02          3.29503060E+02
      17000.0000          1.46421839E+03          4.57767894E+02          3.48739309E+02
      18000.0000          1.54517277E+03          4.82796524E+02          3.67857662E+02
      19000.0000          1.62565164E+03          5.07671453E+02          3.86859793E+02
      20000.0000          1.70566005E+03          5.32394859E+02          4.05747257E+02
      21000.0000          1.78520285E+03          5.56968770E+02          4.24521511E+02
