#Energy      Zn  Total
      38000.0000          1.86239880E+02          1.86239880E+02
      39000.0000          1.90110116E+02          1.90110116E+02
      40000.0000          1.93953973E+02          1.93953973E+02
      41000.0000          1.97771879E+02          1.97771879E+02
      42000.0000          2.01564238E+02          2.01564238E+02
      43000.0000          2.05331440E+02          2.05331440E+02
      44000.0000          2.09073860E+02          2.09073860E+02
      45000.0000          2.12791856E+02          2.12791856E+02
      46000.0000          2.16485773E+02          2.16485773E+02
      47000.0000          2.20155945E+02          2.20155945E+02
      48000.0000          2.23802692E+02          2.23802692E+02
      49000.0000          2.27426323E+02          2.27426323E+02
      50000.0000          2.31027139E+02          2.31027139E+02
