#Energy      C-K-shell   N-K-shell   Valence  Total
       1600.0000          1.40535442E+03          2.65344318E+03          2.33402298E+01          2.27619782E+01
       1700.0000          1.42802684E+03          2.63600938E+03          2.45082361E+01          2.38764699E+01
       1800.0000          1.45364805E+03          2.63231335E+03          2.56664355E+01          2.49817581E+01
       1900.0000          1.48154122E+03          2.63901862E+03          2.68174475E+01          2.60803402E+01
       2000.0000          1.51121036E+03          2.65375420E+03          2.79598669E+01          2.71708893E+01
       2100.0000          1.54228443E+03          2.67479469E+03          2.90943051E+01          2.82539855E+01
       2200.0000          1.57448114E+03          2.70085773E+03          3.02212712E+01          2.93301070E+01
       2300.0000          1.60758232E+03          2.73097233E+03          3.13411229E+01          3.03995872E+01
       2400.0000          1.64141715E+03          2.76439138E+03          3.24560402E+01          3.14644709E+01
       2500.0000          1.67585021E+03          2.80053167E+03          3.35646122E+01          3.25234238E+01
       2600.0000          1.71077308E+03          2.83893176E+03          3.46671162E+01          3.35767017E+01
       2700.0000          1.74609804E+03          2.87922243E+03          3.57638465E+01          3.46245764E+01
       2800.0000          1.78175355E+03          2.92110524E+03          3.68566561E+01          3.56687796E+01
       2900.0000          1.81768084E+03          2.96433642E+03          3.79426770E+01          3.67066203E+01
       3000.0000          1.85383125E+03          3.00871536E+03          3.90252793E+01          3.77412504E+01
       3100.0000          1.89016428E+03          3.05407555E+03          4.01031708E+01          3.87714566E+01
       3200.0000          1.92664602E+03          3.10027777E+03          4.11746430E+01          3.97956403E+01
       3300.0000          1.96166285E+03          3.14720492E+03          4.22434010E+01          4.08165760E+01
       3400.0000          1.99785017E+03          3.19475794E+03          4.33079360E+01          4.18339904E+01
       3500.0000          2.03623512E+03          3.24285244E+03          4.43682623E+01          4.28483779E+01
       3600.0000          2.07222964E+03          3.29141629E+03          4.54246324E+01          4.38579563E+01
       3700.0000          2.11033558E+03          3.34038743E+03          4.64789722E+01          4.48665279E+01
       3800.0000          2.14615148E+03          3.38971229E+03          4.75275811E+01          4.58686666E+01
       3900.0000          2.18399589E+03          3.43934454E+03          4.85730088E+01          4.68687132E+01
       4000.0000          2.21964718E+03          3.48924374E+03          4.96165662E+01          4.78659541E+01
       4100.0000          2.25724704E+03          3.53937464E+03          5.06549954E+01          4.88592753E+01
       4200.0000          2.29471705E+03          3.58970638E+03          5.16917698E+01          4.98509524E+01
       4300.0000          2.33011832E+03          3.64021182E+03          5.27251041E+01          5.08384032E+01
       4400.0000          2.36736790E+03          3.69086705E+03          5.37540245E+01          5.18225811E+01
       4500.0000          2.40449956E+03          3.74165098E+03          5.47819327E+01          5.28057206E+01
       4600.0000          2.44151705E+03          3.79230633E+03          5.58059712E+01          5.37851209E+01
       4700.0000          2.47842402E+03          3.84324759E+03          5.68281685E+01          5.47627555E+01
       4800.0000          2.51522395E+03          3.89409627E+03          5.78475755E+01          5.57376719E+01
       4900.0000          2.55192023E+03          3.94485451E+03          5.88620666E+01          5.67079024E+01
       5000.0000          2.58851609E+03          3.99552452E+03          5.98755702E+01          5.76770984E+01
       5100.0000          2.62501466E+03          4.04610853E+03          6.08867089E+01          5.86439857E+01
       5200.0000          2.66141892E+03          4.09660876E+03          6.18969319E+01          5.96099125E+01
       5300.0000          2.69941413E+03          4.14702743E+03          6.29037671E+01          6.05734374E+01
       5400.0000          2.73561352E+03          4.20141415E+03          6.39079246E+01          6.15343887E+01
       5500.0000          2.77172716E+03          4.25160410E+03          6.49087553E+01          6.24912772E+01
       5600.0000          2.80775758E+03          4.30172024E+03          6.59079287E+01          6.34465327E+01
       5700.0000          2.84531343E+03          4.35565623E+03          6.69058933E+01          6.44022487E+01
       5800.0000          2.88116055E+03          4.40556132E+03          6.79010810E+01          6.53536072E+01
       5900.0000          2.91693176E+03          4.45539979E+03          6.88953636E+01          6.63040386E+01
       6000.0000          2.95418437E+03          4.50891406E+03          6.98851031E+01          6.72518158E+01
       6100.0000          2.98978652E+03          4.55855789E+03          7.08741410E+01          6.81972024E+01
       6200.0000          3.02684731E+03          4.61180158E+03          7.18632874E+01          6.91442296E+01
       6300.0000          3.06228915E+03          4.66126139E+03          7.28475635E+01          7.00850295E+01
       6400.0000          3.09916650E+03          4.71424585E+03          7.38307228E+01          7.10263222E+01
       6500.0000          3.13445617E+03          4.76353169E+03          7.48118493E+01          7.19640386E+01
       6600.0000          3.17115793E+03          4.81626775E+03          7.57925599E+01          7.29028809E+01
       6700.0000          3.20630302E+03          4.86538901E+03          7.67704390E+01          7.38374323E+01
       6800.0000          3.24283658E+03          4.91788698E+03          7.77471874E+01          7.47724321E+01
       6900.0000          3.27784417E+03          4.97026217E+03          7.87211095E+01          7.57039625E+01
       7000.0000          3.31421645E+03          5.01912212E+03          7.96941614E+01          7.66345822E+01
       7100.0000          3.35050831E+03          5.07127362E+03          8.06644415E+01          7.75633475E+01
       7200.0000          3.38531068E+03          5.11999069E+03          8.16360530E+01          7.84917247E+01
       7300.0000          3.42145082E+03          5.17192751E+03          8.26040876E+01          7.94182541E+01
       7400.0000          3.45751498E+03          5.22375266E+03          8.35705468E+01          8.03432485E+01
       7500.0000          3.49212594E+03          5.27546812E+03          8.45343779E+01          8.12649905E+01
       7600.0000          3.52804714E+03          5.32386294E+03          8.54986736E+01          8.21870680E+01
       7700.0000          3.56389643E+03          5.37538036E+03          8.64611875E+01          8.31081907E+01
       7800.0000          3.59832853E+03          5.42679394E+03          8.74199620E+01          8.40250513E+01
       7900.0000          3.63404289E+03          5.47810551E+03          8.83806474E+01          8.49443403E+01
       8000.0000          3.66968910E+03          5.52620845E+03          8.93367701E+01          8.58585937E+01
       8100.0000          3.70526833E+03          5.57733694E+03          9.02955787E+01          8.67760096E+01
       8200.0000          3.74078170E+03          5.62836871E+03          9.12481151E+01          8.76875641E+01
       8300.0000          3.77492635E+03          5.67930541E+03          9.22039130E+01          8.86013449E+01
       8400.0000          3.81031668E+03          5.73014865E+03          9.31526096E+01          8.95092217E+01
       8500.0000          3.84564446E+03          5.78090000E+03          9.41056572E+01          9.04210507E+01
       8600.0000          3.88091068E+03          5.83156100E+03          9.50558704E+01          9.13301982E+01
       8700.0000          3.91611636E+03          5.87917533E+03          9.60021504E+01          9.22349239E+01
       8800.0000          3.95126245E+03          5.92967605E+03          9.69508530E+01          9.31425532E+01
       8900.0000          3.98634990E+03          5.98009088E+03          9.78975144E+01          9.40482370E+01
       9000.0000          4.02137964E+03          6.03042123E+03          9.88380849E+01          9.49482391E+01
       9100.0000          4.05510857E+03          6.08066846E+03          9.97826225E+01          9.58511480E+01
       9200.0000          4.09003131E+03          6.13083391E+03          1.00725999E+02          9.67536234E+01
       9300.0000          4.12489901E+03          6.18091887E+03          1.01668368E+02          9.76551115E+01
