#Energy      O-K-shell   Valence  Total
       1500.0000          3.83754418E+04          7.04535539E+05          3.63931390E+04
       1600.0000          4.60339580E+04          8.42559297E+05          4.36491489E+04
       1700.0000          5.43470315E+04          9.96436488E+05          5.15361767E+04
       1800.0000          6.37054145E+04          1.16933032E+06          6.04140421E+04
       1900.0000          7.43236943E+04          1.36483778E+06          7.04853401E+04
       2000.0000          8.57819977E+04          1.57227031E+06          8.13439284E+04
       2100.0000          9.87664560E+04          1.80504380E+06          9.36426193E+04
       2200.0000          1.12291007E+05          2.05964781E+06          1.06485471E+05
       2300.0000          1.27522356E+05          2.34019052E+06          1.20932468E+05
       2400.0000          1.44330902E+05          2.64396493E+06          1.36859884E+05
       2500.0000          1.62492888E+05          2.97805492E+06          1.54085457E+05
       2600.0000          1.82062169E+05          3.32593742E+06          1.72613298E+05
       2700.0000          2.02790798E+05          3.70556145E+06          1.92268689E+05
       2800.0000          2.25342371E+05          4.11041862E+06          2.13630659E+05
       2900.0000          2.49818811E+05          4.55213170E+06          2.36822126E+05
       3000.0000          2.75252842E+05          5.03613696E+06          2.60988378E+05
       3100.0000          3.02776023E+05          5.52789258E+06          2.87053415E+05
       3200.0000          3.32894034E+05          6.04727287E+06          3.15524827E+05
       3300.0000          3.65838639E+05          6.63009931E+06          3.46707836E+05
       3400.0000          3.98343466E+05          7.23034546E+06          3.77543362E+05
       3500.0000          4.33874137E+05          7.89640498E+06          4.11276243E+05
       3600.0000          4.72637332E+05          8.55048525E+06          4.47880265E+05
       3700.0000          5.11480528E+05          9.28704243E+06          4.84781368E+05
       3800.0000          5.54997561E+05          1.00671932E+07          5.25999560E+05
       3900.0000          5.97116996E+05          1.08304860E+07          5.65916340E+05
       4000.0000          6.44581303E+05          1.16956730E+07          6.10912220E+05
       4100.0000          6.94915430E+05          1.25731800E+07          6.58519290E+05
       4200.0000          7.45785419E+05          1.35144349E+07          7.06782102E+05
       4300.0000          8.00232899E+05          1.44702495E+07          7.58297570E+05
       4400.0000          8.57826464E+05          1.55011181E+07          8.12843963E+05
       4500.0000          9.19144244E+05          1.65803822E+07          8.70867158E+05
       4600.0000          9.82664053E+05          1.77177084E+07          9.31027187E+05
       4700.0000          1.04817695E+06          1.89062679E+07          9.93117789E+05
       4800.0000          1.11703868E+06          2.01563326E+07          1.05838435E+06
       4900.0000          1.18847991E+06          2.14115202E+07          1.12598060E+06
       5000.0000          1.26380922E+06          2.28644225E+07          1.19761234E+06
       5100.0000          1.33856671E+06          2.41466984E+07          1.26826095E+06
       5200.0000          1.42684529E+06          2.56201846E+07          1.35157316E+06
       5300.0000          1.51020840E+06          2.71336632E+07          1.43058476E+06
       5400.0000          1.59163081E+06          2.86933483E+07          1.50798246E+06
       5500.0000          1.68997665E+06          3.03275578E+07          1.60077487E+06
       5600.0000          1.78436890E+06          3.21928852E+07          1.69065996E+06
       5700.0000          1.87570517E+06          3.39338584E+07          1.77745572E+06
       5800.0000          1.98560523E+06          3.56484754E+07          1.88084306E+06
       5900.0000          2.08994633E+06          3.75673263E+07          1.97980573E+06
       6000.0000          2.19746132E+06          3.96986293E+07          2.08220387E+06
       6100.0000          2.31050346E+06          4.16932440E+07          2.18918593E+06
       6200.0000          2.42842559E+06          4.37674110E+07          2.30076797E+06
       6300.0000          2.55107246E+06          4.59633671E+07          2.41692744E+06
       6400.0000          2.68922157E+06          4.81963945E+07          2.54710061E+06
       6500.0000          2.81393027E+06          5.04703696E+07          2.66532733E+06
       6600.0000          2.94450553E+06          5.29132733E+07          2.78928789E+06
       6700.0000          3.08323749E+06          5.56610844E+07          2.92141158E+06
       6800.0000          3.22342014E+06          5.81185988E+07          3.05403482E+06
       6900.0000          3.38526898E+06          6.06587889E+07          3.20632894E+06
       7000.0000          3.52975262E+06          6.33448336E+07          3.34344637E+06
       7100.0000          3.68828628E+06          6.63752158E+07          3.49412734E+06
       7200.0000          3.85256062E+06          6.92231532E+07          3.64945315E+06
       7300.0000          4.01366214E+06          7.21919444E+07          3.80226715E+06
       7400.0000          4.20373048E+06          7.52750879E+07          3.98139011E+06
       7500.0000          4.36990578E+06          7.83324784E+07          4.13900462E+06
       7600.0000          4.54728414E+06          8.18829920E+07          4.30804167E+06
       7700.0000          4.73299214E+06          8.50890214E+07          4.48359654E+06
       7800.0000          4.93933175E+06          8.83253625E+07          4.67774297E+06
       7900.0000          5.13530523E+06          9.21374676E+07          4.86419792E+06
       8000.0000          5.32796351E+06          9.54704357E+07          5.04634004E+06
       8100.0000          5.55480042E+06          9.94834365E+07          5.26104256E+06
       8200.0000          5.75759951E+06          1.03274655E+08          5.45356148E+06
       8300.0000          5.97497130E+06          1.07661481E+08          5.66080906E+06
       8400.0000          6.21890437E+06          1.11388303E+08          5.89005742E+06
       8500.0000          6.43837959E+06          1.15284811E+08          6.09783042E+06
       8600.0000          6.70225544E+06          1.19877814E+08          6.34737945E+06
       8700.0000          6.92404231E+06          1.24009332E+08          6.55788385E+06
       8800.0000          7.17126283E+06          1.28884048E+08          6.79327677E+06
       8900.0000          7.42645797E+06          1.33250971E+08          7.03441016E+06
       9000.0000          7.68915348E+06          1.37829938E+08          7.28286259E+06
       9100.0000          7.97888746E+06          1.42592894E+08          7.55608151E+06
       9200.0000          8.23679752E+06          1.47895613E+08          7.80226357E+06
       9300.0000          8.54517735E+06          1.52598133E+08          8.09203998E+06
       9400.0000          8.81169183E+06          1.58246408E+08          8.34690795E+06
       9500.0000          9.13332841E+06          1.63144918E+08          8.64912515E+06
       9600.0000          9.41695465E+06          1.69113007E+08          8.92023671E+06
       9700.0000          9.71902359E+06          1.73951154E+08          9.20473531E+06
       9800.0000          1.00548958E+07          1.80170135E+08          9.52341514E+06
       9900.0000          1.03701191E+07          1.85150589E+08          9.82010385E+06
      10000.0000          1.07297031E+07          1.91505706E+08          1.01604332E+07
      11000.0000          1.44643083E+07          2.57741138E+08          1.36957116E+07
      12000.0000          1.90040454E+07          3.39811019E+08          1.79975276E+07
      13000.0000          2.45486172E+07          4.37328894E+08          2.32438674E+07
