#Energy      H   O  Total
       5100.0000          1.13421058E+03          2.67078539E+02          2.16174736E+02
       5200.0000          1.15608333E+03          2.72074836E+02          2.20242540E+02
       5300.0000          1.17794328E+03          2.77066969E+02          2.24307131E+02
       5400.0000          1.19979045E+03          2.82054980E+02          2.28368536E+02
       5500.0000          1.22162484E+03          2.87038903E+02          2.32426779E+02
       5600.0000          1.24344648E+03          2.92018776E+02          2.36481886E+02
       5700.0000          1.26525536E+03          2.96994633E+02          2.40533879E+02
       5800.0000          1.28705150E+03          3.01966507E+02          2.44582782E+02
       5900.0000          1.30883492E+03          3.06934428E+02          2.48628617E+02
       6000.0000          1.33060563E+03          3.11898428E+02          2.52671403E+02
       6100.0000          1.35236364E+03          3.16858536E+02          2.56711161E+02
       6200.0000          1.37410895E+03          3.21814779E+02          2.60747910E+02
       6300.0000          1.39584159E+03          3.26767185E+02          2.64781670E+02
       6400.0000          1.41756156E+03          3.31715781E+02          2.68812457E+02
       6500.0000          1.43926887E+03          3.36660591E+02          2.72840289E+02
       6600.0000          1.46096354E+03          3.41601639E+02          2.76865184E+02
       6700.0000          1.48264558E+03          3.46538949E+02          2.80887157E+02
       6800.0000          1.50431500E+03          3.51472545E+02          2.84906223E+02
       6900.0000          1.52597180E+03          3.56402447E+02          2.88922399E+02
       7000.0000          1.54761601E+03          3.61328677E+02          2.92935699E+02
       7100.0000          1.56924762E+03          3.66251257E+02          2.96946136E+02
       7200.0000          1.59086666E+03          3.71170204E+02          3.00953725E+02
       7300.0000          1.61247313E+03          3.76085540E+02          3.04958480E+02
       7400.0000          1.63406705E+03          3.80997283E+02          3.08960412E+02
       7500.0000          1.65564842E+03          3.85905451E+02          3.12959535E+02
       7600.0000          1.67721725E+03          3.90810062E+02          3.16955861E+02
       7700.0000          1.69877357E+03          3.95711133E+02          3.20949402E+02
       7800.0000          1.72031737E+03          4.00608680E+02          3.24940170E+02
       7900.0000          1.74184866E+03          4.05502721E+02          3.28928175E+02
       8000.0000          1.76336747E+03          4.10393270E+02          3.32913429E+02
       8100.0000          1.78487379E+03          4.15280343E+02          3.36895942E+02
       8200.0000          1.80636764E+03          4.20163956E+02          3.40875726E+02
       8300.0000          1.82784904E+03          4.25044122E+02          3.44852789E+02
       8400.0000          1.84931798E+03          4.29920856E+02          3.48827142E+02
       8500.0000          1.87077448E+03          4.34794172E+02          3.52798795E+02
       8600.0000          1.89221856E+03          4.39664084E+02          3.56767756E+02
       8700.0000          1.91365021E+03          4.44530604E+02          3.60734036E+02
       8800.0000          1.93506946E+03          4.49393745E+02          3.64697643E+02
       8900.0000          1.95647631E+03          4.54253521E+02          3.68658586E+02
       9000.0000          1.97787077E+03          4.59109943E+02          3.72616874E+02
       9100.0000          1.99925285E+03          4.63963023E+02          3.76572515E+02
       9200.0000          2.02062256E+03          4.68812773E+02          3.80525516E+02
       9300.0000          2.04197992E+03          4.73659205E+02          3.84475887E+02
       9400.0000          2.06332493E+03          4.78502329E+02          3.88423636E+02
       9500.0000          2.08465760E+03          4.83342158E+02          3.92368769E+02
       9600.0000          2.10597795E+03          4.88178701E+02          3.96311294E+02
       9700.0000          2.12728598E+03          4.93011968E+02          4.00251219E+02
       9800.0000          2.14858170E+03          4.97841972E+02          4.04188551E+02
       9900.0000          2.16986512E+03          5.02668721E+02          4.08123298E+02
      10000.0000          2.19113626E+03          5.07492225E+02          4.12055465E+02
