#Energy      Ga   As  Total
      24000.0000          4.30531101E+02          4.12345612E+02          2.10621088E+02
      25000.0000          4.44771329E+02          4.25770673E+02          2.17531822E+02
      26000.0000          4.58891180E+02          4.39078165E+02          2.24383046E+02
      27000.0000          4.72894124E+02          4.52271643E+02          2.31176520E+02
      28000.0000          4.86783360E+02          4.65354382E+02          2.37913865E+02
      29000.0000          5.00561850E+02          4.78329410E+02          2.44596580E+02
      30000.0000          5.14232343E+02          4.91199534E+02          2.51226058E+02
      31000.0000          5.27797402E+02          5.03967366E+02          2.57803595E+02
      32000.0000          5.41259420E+02          5.16635347E+02          2.64330401E+02
      33000.0000          5.54620642E+02          5.29205759E+02          2.70807610E+02
      34000.0000          5.67883178E+02          5.41680748E+02          2.77236288E+02
      35000.0000          5.81049015E+02          5.54062329E+02          2.83617437E+02
      36000.0000          5.94120033E+02          5.66352407E+02          2.89952005E+02
      37000.0000          6.07098007E+02          5.78552782E+02          2.96240887E+02
      38000.0000          6.19984626E+02          5.90665157E+02          3.02484931E+02
      39000.0000          6.32781492E+02          6.02691153E+02          3.08684946E+02
      40000.0000          6.45490132E+02          6.14632310E+02          3.14841699E+02
      41000.0000          6.58112004E+02          6.26490093E+02          3.20955922E+02
      42000.0000          6.70648499E+02          6.38265906E+02          3.27028315E+02
      43000.0000          6.83100952E+02          6.49961085E+02          3.33059545E+02
      44000.0000          6.95470639E+02          6.61576915E+02          3.39050255E+02
      45000.0000          7.07758788E+02          6.73114624E+02          3.45001060E+02
      46000.0000          7.19966578E+02          6.84575392E+02          3.50912549E+02
      47000.0000          7.32095145E+02          6.95960356E+02          3.56785291E+02
      48000.0000          7.44145584E+02          7.07270608E+02          3.62619835E+02
      49000.0000          7.56118951E+02          7.18507201E+02          3.68416707E+02
      50000.0000          7.68016265E+02          7.29671150E+02          3.74176417E+02
