#Energy      C   H   N   O  Total
       6400.0000          4.97444184E+02          2.45746780E+03          8.35558956E+02          1.43764630E+03          2.32040972E+02
       6500.0000          5.04943486E+02          2.49509934E+03          8.48089034E+02          1.45907696E+03          2.35532888E+02
       6600.0000          5.12437666E+02          2.53270897E+03          8.60610100E+02          1.48049131E+03          2.39022369E+02
       6700.0000          5.19926747E+02          2.57029669E+03          8.73122199E+02          1.50188947E+03          2.42509428E+02
       6800.0000          5.27410749E+02          2.60786253E+03          8.85625379E+02          1.52327152E+03          2.45994074E+02
       6900.0000          5.34889692E+02          2.64540650E+03          8.98119683E+02          1.54463757E+03          2.49476318E+02
       7000.0000          5.42363598E+02          2.68292864E+03          9.10605155E+02          1.56598771E+03          2.52956172E+02
       7100.0000          5.49832484E+02          2.72042895E+03          9.23081835E+02          1.58732202E+03          2.56433644E+02
       7200.0000          5.57296370E+02          2.75790746E+03          9.35549765E+02          1.60864059E+03          2.59908745E+02
       7300.0000          5.64755274E+02          2.79536418E+03          9.48008983E+02          1.62994351E+03          2.63381483E+02
       7400.0000          5.72209214E+02          2.83279913E+03          9.60459528E+02          1.65123086E+03          2.66851869E+02
       7500.0000          5.79658207E+02          2.87021234E+03          9.72901436E+02          1.67250271E+03          2.70319911E+02
       7600.0000          5.87102270E+02          2.90760382E+03          9.85334744E+02          1.69375915E+03          2.73785617E+02
