#Energy      Al   As  Total
       1530.9990          8.24279683E+01          5.76670413E+01          3.39296672E+01
       1531.0010          8.24280614E+01          5.76670840E+01          3.39296978E+01
       1563.9990          8.39621685E+01          5.83721989E+01          3.44334014E+01
       1564.0010          8.39622614E+01          5.83722416E+01          3.44334318E+01
       1600.0000          8.56336664E+01          5.91398303E+01          3.49812681E+01
       1700.0000          9.02649000E+01          6.12628035E+01          3.64941902E+01
       1800.0000          9.48798409E+01          6.33718534E+01          3.79946098E+01
       1900.0000          9.94795119E+01          6.54668473E+01          3.94831996E+01
       2000.0000          1.04064818E+02          6.75478406E+01          4.09605783E+01
       2100.0000          1.08636566E+02          6.96150131E+01          4.24273155E+01
       2200.0000          1.13195477E+02          7.16686261E+01          4.38839351E+01
       2300.0000          1.17742196E+02          7.37089920E+01          4.53309206E+01
       2400.0000          1.22277310E+02          7.57364546E+01          4.67687182E+01
       2500.0000          1.26801347E+02          7.77513740E+01          4.81977405E+01
       2600.0000          1.31314788E+02          7.97541169E+01          4.96183697E+01
       2700.0000          1.35818072E+02          8.17450500E+01          5.10309605E+01
       2800.0000          1.40311600E+02          8.37245351E+01          5.24358424E+01
       2900.0000          1.44795740E+02          8.56929258E+01          5.38333222E+01
       3000.0000          1.49270832E+02          8.76505657E+01          5.52236860E+01
       3100.0000          1.53737189E+02          8.95977868E+01          5.66072011E+01
       3200.0000          1.58195101E+02          9.15349092E+01          5.79841173E+01
       3300.0000          1.62644835E+02          9.34622402E+01          5.93546688E+01
       3400.0000          1.67086641E+02          9.53800746E+01          6.07190754E+01
       3500.0000          1.71520752E+02          9.72886950E+01          6.20775435E+01
       3600.0000          1.75947385E+02          9.91883716E+01          6.34302674E+01
       3700.0000          1.80366742E+02          1.01079363E+02          6.47774301E+01
       3800.0000          1.84779014E+02          1.02961916E+02          6.61192042E+01
       3900.0000          1.89184378E+02          1.04836267E+02          6.74557529E+01
       4000.0000          1.93583002E+02          1.06702642E+02          6.87872304E+01
       4100.0000          1.97975043E+02          1.08561257E+02          7.01137828E+01
