#Energy      Au   C  Total
       2900.0000          5.34824416E+01          1.07453364E+02          3.57090720E+01
       3000.0000          5.39653958E+01          1.11028971E+02          3.63147087E+01
       3100.0000          5.44579173E+01          1.14601330E+02          3.69157550E+01
       3152.9990          5.47223518E+01          1.16493347E+02          3.72325082E+01
       3153.0010          5.47223618E+01          1.16493419E+02          3.72325202E+01
       3200.0000          5.49586371E+01          1.18170498E+02          3.75124009E+01
       3300.0000          5.54663727E+01          1.21736529E+02          3.81048145E+01
       3400.0000          5.59800986E+01          1.25299473E+02          3.86931455E+01
       3429.9990          5.61352428E+01          1.26367725E+02          3.88688634E+01
       3430.0010          5.61352531E+01          1.26367796E+02          3.88688751E+01
       3500.0000          5.64989228E+01          1.28859375E+02          3.92775288E+01
       3600.0000          5.70220674E+01          1.32416280E+02          3.98580865E+01
       3700.0000          5.75488519E+01          1.35970227E+02          4.04349302E+01
       3800.0000          5.80786799E+01          1.39521254E+02          4.10081628E+01
       3900.0000          5.86110270E+01          1.43069397E+02          4.15778792E+01
       4000.0000          5.91454317E+01          1.46614690E+02          4.21441680E+01
       4100.0000          5.96814869E+01          1.50157162E+02          4.27071121E+01
       4200.0000          6.02188326E+01          1.53696845E+02          4.32667895E+01
       4300.0000          6.07571504E+01          1.57233767E+02          4.38232736E+01
       4400.0000          6.12961581E+01          1.60767953E+02          4.43766343E+01
       4500.0000          6.18356053E+01          1.64299429E+02          4.49269379E+01
       4600.0000          6.23752696E+01          1.67828219E+02          4.54742475E+01
       4700.0000          6.29149533E+01          1.71354345E+02          4.60186235E+01
       4800.0000          6.34544807E+01          1.74877830E+02          4.65601238E+01
       4900.0000          6.39936951E+01          1.78398693E+02          4.70988039E+01
       5000.0000          6.45324572E+01          1.81916954E+02          4.76347174E+01
       5100.0000          6.50706430E+01          1.85432632E+02          4.81679156E+01
       5200.0000          6.56081419E+01          1.88945745E+02          4.86984481E+01
       5300.0000          6.61448556E+01          1.92456310E+02          4.92263629E+01
       5400.0000          6.66806965E+01          1.95964344E+02          4.97517064E+01
       5500.0000          6.72155868E+01          1.99469861E+02          5.02745233E+01
       5600.0000          6.77494573E+01          2.02972878E+02          5.07948571E+01
       5700.0000          6.82822466E+01          2.06473408E+02          5.13127498E+01
       5800.0000          6.88139003E+01          2.09971466E+02          5.18282423E+01
       5900.0000          6.93443702E+01          2.13467065E+02          5.23413743E+01
       6000.0000          6.98736139E+01          2.16960218E+02          5.28521841E+01
       6100.0000          7.04015940E+01          2.20450937E+02          5.33607093E+01
       6200.0000          7.09282778E+01          2.23939235E+02          5.38669863E+01
       6300.0000          7.14536365E+01          2.27425122E+02          5.43710503E+01
       6400.0000          7.19776453E+01          2.30908611E+02          5.48729358E+01
       6500.0000          7.25002825E+01          2.34389712E+02          5.53726764E+01
