#Energy      Ca-K-shell   Ca-L1-shell   Ca-L2-shell   Ca-L3-shell   Ca-M1-shell   Ca-M2-shell   Ca-M3-shell   Valence  Total
         96.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.09057875E+02          1.67746272E+02          8.38731359E+01          8.31960922E+00          7.16884788E+00
         97.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.92915542E+02          1.66161241E+02          8.30806204E+01          8.37456094E+00          7.19905220E+00
         98.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.77566948E+02          1.64649210E+02          8.23246048E+01          8.42952118E+00          7.22924015E+00
         99.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.62961423E+02          1.63206412E+02          8.16032058E+01          8.48448739E+00          7.25941362E+00
        100.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.49051516E+02          1.61829609E+02          8.09148044E+01          8.53945717E+00          7.28957607E+00
        110.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.40167225E+02          1.51069707E+02          7.55348533E+01          9.08877032E+00          7.59096560E+00
        120.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.68876081E+02          1.44318765E+02          7.21593827E+01          9.63533981E+00          7.89236775E+00
        130.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.20245939E+02          1.40180166E+02          7.00900829E+01          1.01811881E+01          8.19665724E+00
        140.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.86140398E+02          1.37809771E+02          6.89048853E+01          1.07212404E+01          8.50111271E+00
        150.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.61767729E+02          1.36676398E+02          6.83381991E+01          1.12605673E+01          8.80907214E+00
        160.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.44146674E+02          1.36433582E+02          6.82167909E+01          1.17989932E+01          9.12013890E+00
        170.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.31344999E+02          1.36847971E+02          6.84239853E+01          1.23322892E+01          9.43146333E+00
        180.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.22069299E+02          1.37757839E+02          6.88789196E+01          1.28608788E+01          9.74303226E+00
        190.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.15429760E+02          1.39048219E+02          6.95241094E+01          1.33889874E+01          1.00569450E+01
        200.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.10799609E+02          1.40635521E+02          7.03177603E+01          1.39090747E+01          1.03686304E+01
        210.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.07727654E+02          1.42457736E+02          7.12288682E+01          1.44326525E+01          1.06842359E+01
        220.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.05882688E+02          1.44468054E+02          7.22340270E+01          1.49487722E+01          1.09974476E+01
        230.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.05017348E+02          1.46630561E+02          7.33152805E+01          1.54614108E+01          1.13102680E+01
        240.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.04943817E+02          1.48917313E+02          7.44586565E+01          1.59741092E+01          1.16243926E+01
        250.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.05517433E+02          1.51306295E+02          7.56531476E+01          1.64835530E+01          1.19378755E+01
        260.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.06625239E+02          1.53779956E+02          7.68899782E+01          1.69899206E+01          1.22506786E+01
        270.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.08177972E+02          1.56324167E+02          7.81620833E+01          1.74933747E+01          1.25627718E+01
        280.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.10104293E+02          1.58927438E+02          7.94637191E+01          1.79971366E+01          1.28757042E+01
        290.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.12346589E+02          1.61580357E+02          8.07901787E+01          1.84951260E+01          1.31862654E+01
        300.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.14857913E+02          1.64275145E+02          8.21375725E+01          1.89935750E+01          1.34975603E+01
        310.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.17599662E+02          1.67005332E+02          8.35026659E+01          1.94866065E+01          1.38065454E+01
        320.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.20539852E+02          1.69765501E+02          8.48827503E+01          1.99802094E+01          1.41161795E+01
        330.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.23651777E+02          1.72551089E+02          8.62755445E+01          2.04715235E+01          1.44249691E+01
        340.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.26912991E+02          1.75358236E+02          8.76791182E+01          2.09606415E+01          1.47329178E+01
