#Energy      Li-K-shell   Cl-K-shell   Cl-L1-shell   Cl-L2-shell   Cl-L3-shell   Valence  Total
        610.0000          2.48078943E+02          1.00000000E+30          6.01499324E+03          2.40817329E+03          1.17281411E+03          1.80912989E+01          1.64635288E+01
        620.0000          2.50303113E+02          1.00000000E+30          5.84199012E+03          2.37613911E+03          1.15769630E+03          1.83210770E+01          1.66575301E+01
        630.0000          2.52535216E+02          1.00000000E+30          5.68275964E+03          2.34668822E+03          1.14380476E+03          1.85533296E+01          1.68534866E+01
        640.0000          2.54774571E+02          1.00000000E+30          5.53594759E+03          2.31960123E+03          1.13103467E+03          1.87820165E+01          1.70464182E+01
        650.0000          2.57020555E+02          1.00000000E+30          5.40036336E+03          2.29467947E+03          1.11929345E+03          1.90131580E+01          1.72412964E+01
        660.0000          2.59272591E+02          1.00000000E+30          5.27495674E+03          2.27174573E+03          1.10849669E+03          1.92408006E+01          1.74332285E+01
        670.0000          2.61530149E+02          1.00000000E+30          5.15879831E+03          2.25064102E+03          1.09856913E+03          1.94708754E+01          1.76270947E+01
        680.0000          2.63792742E+02          1.00000000E+30          5.05106243E+03          2.23122171E+03          1.08944265E+03          1.96975172E+01          1.78180900E+01
        690.0000          2.66059916E+02          1.00000000E+30          4.95101541E+03          2.21335794E+03          1.08105577E+03          1.99265670E+01          1.80110039E+01
        700.0000          2.68331255E+02          1.00000000E+30          4.85799877E+03          2.19693214E+03          1.07335327E+03          2.01522487E+01          1.82011191E+01
        710.0000          2.70606374E+02          1.00000000E+30          4.77142394E+03          2.18183791E+03          1.06628423E+03          2.03803124E+01          1.83931345E+01
        720.0000          2.72884914E+02          1.00000000E+30          4.69076597E+03          2.16797838E+03          1.05980288E+03          2.06050721E+01          1.85824200E+01
        730.0000          2.75166546E+02          1.00000000E+30          4.61554787E+03          2.15526664E+03          1.05386768E+03          2.08321863E+01          1.87735855E+01
        740.0000          2.77450960E+02          1.00000000E+30          4.54534170E+03          2.14362098E+03          1.04844034E+03          2.10588349E+01          1.89643378E+01
        750.0000          2.79737872E+02          1.00000000E+30          4.47976197E+03          2.13296893E+03          1.04348642E+03          2.12822586E+01          1.91524462E+01
        760.0000          2.81796596E+02          1.00000000E+30          4.41845692E+03          2.12324356E+03          1.03897388E+03          2.15080083E+01          1.93413281E+01
        770.0000          2.84156831E+02          1.00000000E+30          4.36111016E+03          2.11438312E+03          1.03487356E+03          2.17333163E+01          1.95312341E+01
        780.0000          2.86513147E+02          1.00000000E+30          4.30743269E+03          2.10633094E+03          1.03115877E+03          2.19554769E+01          1.97185524E+01
        790.0000          2.88865594E+02          1.00000000E+30          4.25716019E+03          2.09903675E+03          1.02780466E+03          2.21799322E+01          1.99076789E+01
        800.0000          2.90921808E+02          1.00000000E+30          4.21005403E+03          2.09245108E+03          1.02478930E+03          2.24039676E+01          2.00950309E+01
