#Energy      Li   Cl  Total
        780.0000          1.38130309E+02          2.94776119E+01          2.42933127E+01
        790.0000          1.39855805E+02          2.97507180E+01          2.45321379E+01
        800.0000          1.41581099E+02          3.00235728E+01          2.47707151E+01
        810.0000          1.43306193E+02          3.02961777E+01          2.50090472E+01
        820.0000          1.45031090E+02          3.05685340E+01          2.52471372E+01
        830.0000          1.46755789E+02          3.08406434E+01          2.54849881E+01
        840.0000          1.48480294E+02          3.11125074E+01          2.57226025E+01
        850.0000          1.50204605E+02          3.13841275E+01          2.59599834E+01
        860.0000          1.51928725E+02          3.16555054E+01          2.61971334E+01
        870.0000          1.53652654E+02          3.19266427E+01          2.64340553E+01
        880.0000          1.55376395E+02          3.21975412E+01          2.66707517E+01
        890.0000          1.57099948E+02          3.24682024E+01          2.69072252E+01
        900.0000          1.58823316E+02          3.27386283E+01          2.71434784E+01
        910.0000          1.60546499E+02          3.30088204E+01          2.73795138E+01
        920.0000          1.62269498E+02          3.32787805E+01          2.76153339E+01
        930.0000          1.63992316E+02          3.35485104E+01          2.78509411E+01
        940.0000          1.65714953E+02          3.38180119E+01          2.80863378E+01
        950.0000          1.67437410E+02          3.40872867E+01          2.83215263E+01
        960.0000          1.69159689E+02          3.43563366E+01          2.85565090E+01
        970.0000          1.70881792E+02          3.46251633E+01          2.87912881E+01
        980.0000          1.72603718E+02          3.48937686E+01          2.90258658E+01
        990.0000          1.74325469E+02          3.51621543E+01          2.92602443E+01
       1000.0000          1.76047047E+02          3.54303222E+01          2.94944259E+01
       1100.0000          1.93253486E+02          3.81003986E+01          3.18258535E+01
       1200.0000          2.10443577E+02          4.07505457E+01          3.41396945E+01
       1300.0000          2.27618076E+02          4.33823186E+01          3.64375850E+01
       1400.0000          2.44777605E+02          4.59971184E+01          3.87209189E+01
       1500.0000          2.61922680E+02          4.85961961E+01          4.09908927E+01
       1600.0000          2.79053738E+02          5.11806650E+01          4.32485403E+01
       1700.0000          2.96171149E+02          5.37515160E+01          4.54947617E+01
       1800.0000          3.13275235E+02          5.63096320E+01          4.77303450E+01
       1900.0000          3.30366272E+02          5.88558025E+01          4.99559849E+01
       2000.0000          3.47444507E+02          6.13907348E+01          5.21722968E+01
       2100.0000          3.64510154E+02          6.39150650E+01          5.43798291E+01
       2200.0000          3.81563404E+02          6.64293673E+01          5.65790726E+01
       2300.0000          3.98604430E+02          6.89341611E+01          5.87704684E+01
       2400.0000          4.15633385E+02          7.14299183E+01          6.09544150E+01
       2500.0000          4.32650408E+02          7.39170687E+01          6.31312736E+01
       2600.0000          4.49655626E+02          7.63960051E+01          6.53013725E+01
       2700.0000          4.66649154E+02          7.88670871E+01          6.74650115E+01
       2800.0000          4.83631098E+02          8.13306455E+01          6.96224653E+01
       2828.9990          4.88553540E+02          8.20436896E+01          7.02469849E+01
       2829.0010          4.88553879E+02          8.20437387E+01          7.02470280E+01
       2900.0000          5.00601556E+02          8.37869845E+01          7.17739858E+01
       3000.0000          5.17560615E+02          8.62363854E+01          7.39198052E+01
       3100.0000          5.34508360E+02          8.86791082E+01          7.60601378E+01
       3200.0000          5.51444867E+02          9.11153944E+01          7.81951820E+01
       3300.0000          5.68370208E+02          9.35454683E+01          8.03251217E+01
       3400.0000          5.85284450E+02          9.59695386E+01          8.24501281E+01
       3500.0000          6.02187655E+02          9.83878005E+01          8.45703605E+01
       3600.0000          6.19079883E+02          1.00800436E+02          8.66859678E+01
       3700.0000          6.35961187E+02          1.03207616E+02          8.87970890E+01
       3800.0000          6.52831622E+02          1.05609500E+02          9.09038544E+01
       3900.0000          6.69691235E+02          1.08006239E+02          9.30063865E+01
       4000.0000          6.86540073E+02          1.10397975E+02          9.51048001E+01
       4100.0000          7.03378181E+02          1.12784840E+02          9.71992035E+01
       4200.0000          7.20205600E+02          1.15166961E+02          9.92896988E+01
       4300.0000          7.37022371E+02          1.17544455E+02          1.01376382E+02
       4400.0000          7.53828532E+02          1.19917437E+02          1.03459345E+02
       4500.0000          7.70624118E+02          1.22286011E+02          1.05538672E+02
       4600.0000          7.87409165E+02          1.24650280E+02          1.07614447E+02
       4700.0000          8.04183707E+02          1.27010339E+02          1.09686747E+02
       4800.0000          8.20947775E+02          1.29366279E+02          1.11755644E+02
       4900.0000          8.37701399E+02          1.31718187E+02          1.13821209E+02
       5000.0000          8.54444610E+02          1.34066145E+02          1.15883509E+02
