#Energy      Valence  Total
       5600.0000          5.39999031E+03          5.39999031E+03
       5700.0000          5.49999051E+03          5.49999051E+03
       5800.0000          5.59999074E+03          5.59999074E+03
       5900.0000          5.69999096E+03          5.69999096E+03
       6000.0000          5.79999117E+03          5.79999117E+03
       6100.0000          5.89999135E+03          5.89999135E+03
       6200.0000          5.99999155E+03          5.99999155E+03
       6300.0000          6.09999172E+03          6.09999172E+03
       6400.0000          6.19999195E+03          6.19999195E+03
       6500.0000          6.29999209E+03          6.29999209E+03
       6600.0000          6.39999224E+03          6.39999224E+03
       6700.0000          6.49999239E+03          6.49999239E+03
       6800.0000          6.59999254E+03          6.59999254E+03
       6900.0000          6.69999269E+03          6.69999269E+03
       7000.0000          6.79999286E+03          6.79999286E+03
       7100.0000          6.89999299E+03          6.89999299E+03
       7200.0000          6.99999312E+03          6.99999312E+03
       7300.0000          7.09999323E+03          7.09999323E+03
       7400.0000          7.19999336E+03          7.19999336E+03
       7500.0000          7.29999350E+03          7.29999350E+03
       7600.0000          7.39999361E+03          7.39999361E+03
       7700.0000          7.49999371E+03          7.49999371E+03
       7800.0000          7.59999384E+03          7.59999384E+03
       7900.0000          7.69999394E+03          7.69999394E+03
       8000.0000          7.79999404E+03          7.79999404E+03
       8100.0000          7.89999414E+03          7.89999414E+03
       8200.0000          7.99999426E+03          7.99999426E+03
       8300.0000          8.09999434E+03          8.09999434E+03
       8400.0000          8.19999442E+03          8.19999442E+03
       8500.0000          8.29999451E+03          8.29999451E+03
       8600.0000          8.39999461E+03          8.39999461E+03
       8700.0000          8.49999469E+03          8.49999469E+03
       8800.0000          8.59999480E+03          8.59999480E+03
       8900.0000          8.69999486E+03          8.69999486E+03
       9000.0000          8.79999493E+03          8.79999493E+03
       9100.0000          8.89999502E+03          8.89999502E+03
       9200.0000          8.99999509E+03          8.99999509E+03
       9300.0000          9.09999518E+03          9.09999518E+03
       9400.0000          9.19999523E+03          9.19999523E+03
       9500.0000          9.29999532E+03          9.29999532E+03
       9600.0000          9.39999538E+03          9.39999538E+03
       9700.0000          9.49999543E+03          9.49999543E+03
       9800.0000          9.59999551E+03          9.59999551E+03
       9900.0000          9.69999557E+03          9.69999557E+03
      10000.0000          9.79999564E+03          9.79999564E+03
      11000.0000          9.89999679E+03          9.89999679E+03
      12000.0000          9.99999757E+03          9.99999757E+03
      13000.0000          1.09999978E+04          1.09999978E+04
      14000.0000          1.19999979E+04          1.19999979E+04
      15000.0000          1.29999981E+04          1.29999981E+04
      16000.0000          1.39999982E+04          1.39999982E+04
      17000.0000          1.49999984E+04          1.49999984E+04
      18000.0000          1.59999985E+04          1.59999985E+04
      19000.0000          1.69999986E+04          1.69999986E+04
      20000.0000          1.79999986E+04          1.79999986E+04
      21000.0000          1.89999987E+04          1.89999987E+04
      22000.0000          1.99999988E+04          1.99999988E+04
      23000.0000          2.09999989E+04          2.09999989E+04
      24000.0000          2.19999989E+04          2.19999989E+04
      25000.0000          2.29999990E+04          2.29999990E+04
      26000.0000          2.39999990E+04          2.39999990E+04
      27000.0000          2.49999991E+04          2.49999991E+04
      28000.0000          2.59999991E+04          2.59999991E+04
      29000.0000          2.69999992E+04          2.69999992E+04
      30000.0000          2.79999992E+04          2.79999992E+04
      31000.0000          2.89999992E+04          2.89999992E+04
      32000.0000          2.99999993E+04          2.99999993E+04
      33000.0000          3.09999993E+04          3.09999993E+04
      34000.0000          3.19999993E+04          3.19999993E+04
      35000.0000          3.29999993E+04          3.29999993E+04
      36000.0000          3.39999994E+04          3.39999994E+04
      37000.0000          3.49999994E+04          3.49999994E+04
      38000.0000          3.59999994E+04          3.59999994E+04
      39000.0000          3.69999994E+04          3.69999994E+04
      40000.0000          3.79999994E+04          3.79999994E+04
      41000.0000          3.89999995E+04          3.89999995E+04
      42000.0000          3.99999995E+04          3.99999995E+04
      43000.0000          4.09999995E+04          4.09999995E+04
      44000.0000          4.19999995E+04          4.19999995E+04
      45000.0000          4.29999995E+04          4.29999995E+04
      46000.0000          4.39999995E+04          4.39999995E+04
      47000.0000          4.49999996E+04          4.49999996E+04
      48000.0000          4.59999996E+04          4.59999996E+04
      49000.0000          4.69999996E+04          4.69999996E+04
      50000.0000          4.79999996E+04          4.79999996E+04
