#Energy      Te  Total
      29000.0000          3.12177706E+02          3.12177706E+02
      30000.0000          3.19502607E+02          3.19502607E+02
      31000.0000          3.26752856E+02          3.26752856E+02
      31819.9990          3.32644017E+02          3.32644017E+02
      31820.0010          3.32644032E+02          3.32644032E+02
      32000.0000          3.33930826E+02          3.33930826E+02
      33000.0000          3.41038730E+02          3.41038730E+02
      34000.0000          3.48078630E+02          3.48078630E+02
      35000.0000          3.55052457E+02          3.55052457E+02
      36000.0000          3.61962023E+02          3.61962023E+02
      37000.0000          3.68809029E+02          3.68809029E+02
      38000.0000          3.75595078E+02          3.75595078E+02
      39000.0000          3.82321682E+02          3.82321682E+02
      40000.0000          3.88990269E+02          3.88990269E+02
      41000.0000          3.95602192E+02          3.95602192E+02
      42000.0000          4.02158733E+02          4.02158733E+02
      43000.0000          4.08661112E+02          4.08661112E+02
      44000.0000          4.15110486E+02          4.15110486E+02
      45000.0000          4.21507959E+02          4.21507959E+02
      46000.0000          4.27854584E+02          4.27854584E+02
      47000.0000          4.34151366E+02          4.34151366E+02
      48000.0000          4.40399267E+02          4.40399267E+02
      49000.0000          4.46599206E+02          4.46599206E+02
      50000.0000          4.52752065E+02          4.52752065E+02
