#Energy      Li   Mn   O  Total
        830.0000          2.84315950E+02          2.78031153E+01          2.58492216E+01          1.27925839E+01
        840.0000          2.87656902E+02          2.79942571E+01          2.61319878E+01          1.29090137E+01
        850.0000          2.90997481E+02          2.81853113E+01          2.64146458E+01          1.30252913E+01
        860.0000          2.94337688E+02          2.83762724E+01          2.66971970E+01          1.31414188E+01
        870.0000          2.97677526E+02          2.85671359E+01          2.69796426E+01          1.32573981E+01
        880.0000          3.01016999E+02          2.87578970E+01          2.72619841E+01          1.33732311E+01
        890.0000          3.04356109E+02          2.89485517E+01          2.75442227E+01          1.34889197E+01
        900.0000          3.07694859E+02          2.91390961E+01          2.78263598E+01          1.36044658E+01
        910.0000          3.11033251E+02          2.93295265E+01          2.81083965E+01          1.37198711E+01
        920.0000          3.14371288E+02          2.95198396E+01          2.83903340E+01          1.38351373E+01
        930.0000          3.17708972E+02          2.97100324E+01          2.86721737E+01          1.39502663E+01
        940.0000          3.21046307E+02          2.99001019E+01          2.89539165E+01          1.40652595E+01
        950.0000          3.24383294E+02          3.00900456E+01          2.92355637E+01          1.41801188E+01
        960.0000          3.27719935E+02          3.02798609E+01          2.95171164E+01          1.42948456E+01
        970.0000          3.31056233E+02          3.04695456E+01          2.97985756E+01          1.44094416E+01
        980.0000          3.34392191E+02          3.06590977E+01          3.00799423E+01          1.45239083E+01
        990.0000          3.37727810E+02          3.08485152E+01          3.03612177E+01          1.46382470E+01
       1000.0000          3.41063092E+02          3.10377964E+01          3.06424028E+01          1.47524594E+01
       1100.0000          3.74397826E+02          3.29228194E+01          3.34494915E+01          1.58879340E+01
       1200.0000          4.07700887E+02          3.47931424E+01          3.62485141E+01          1.70121806E+01
       1300.0000          4.40973742E+02          3.66485335E+01          3.90401966E+01          1.81262677E+01
       1400.0000          4.74217594E+02          3.84891864E+01          4.18251414E+01          1.92310931E+01
       1500.0000          5.07433444E+02          4.03155207E+01          4.46038543E+01          2.03274211E+01
       1600.0000          5.40622138E+02          4.21280685E+01          4.73767647E+01          2.14159098E+01
       1700.0000          5.73784394E+02          4.39274102E+01          5.01442408E+01          2.24971302E+01
       1800.0000          6.06920833E+02          4.57141377E+01          5.29066013E+01          2.35715826E+01
       1900.0000          6.40031994E+02          4.74888331E+01          5.56641239E+01          2.46397081E+01
       2000.0000          6.73118351E+02          4.92520571E+01          5.84170524E+01          2.57018979E+01
       2100.0000          7.06180322E+02          5.10043430E+01          6.11656024E+01          2.67585013E+01
       2200.0000          7.39218276E+02          5.27461941E+01          6.39099655E+01          2.78098315E+01
       2300.0000          7.72232547E+02          5.44780831E+01          6.66503130E+01          2.88561707E+01
       2400.0000          8.05223433E+02          5.62004526E+01          6.93867985E+01          2.98977744E+01
       2500.0000          8.38191203E+02          5.79137163E+01          7.21195609E+01          3.09348746E+01
       2600.0000          8.71136103E+02          5.96182606E+01          7.48487259E+01          3.19676830E+01
       2700.0000          9.04058355E+02          6.13144465E+01          7.75744077E+01          3.29963932E+01
       2800.0000          9.36958165E+02          6.30026112E+01          8.02967106E+01          3.40211829E+01
       2900.0000          9.69835721E+02          6.46830698E+01          8.30157302E+01          3.50422157E+01
       3000.0000          1.00269120E+03          6.63561170E+01          8.57315542E+01          3.60596425E+01
       3100.0000          1.03552475E+03          6.80220289E+01          8.84442634E+01          3.70736031E+01
       3200.0000          1.06833653E+03          6.96810641E+01          9.11539325E+01          3.80842270E+01
       3300.0000          1.10112668E+03          7.13334652E+01          9.38606307E+01          3.90916346E+01
       3400.0000          1.13389533E+03          7.29794603E+01          9.65644221E+01          4.00959382E+01
       3500.0000          1.16664260E+03          7.46192635E+01          9.92653664E+01          4.10972425E+01
       3600.0000          1.19936859E+03          7.62530767E+01          1.01963519E+02          4.20956455E+01
       3700.0000          1.23207343E+03          7.78810898E+01          1.04658933E+02          4.30912389E+01
       3800.0000          1.26475721E+03          7.95034824E+01          1.07351656E+02          4.40841089E+01
       3900.0000          1.29742002E+03          8.11204237E+01          1.10041735E+02          4.50743363E+01
       4000.0000          1.33006196E+03          8.27320740E+01          1.12729211E+02          4.60619975E+01
       4100.0000          1.36268311E+03          8.43385849E+01          1.15414126E+02          4.70471643E+01
       4200.0000          1.39528355E+03          8.59401001E+01          1.18096517E+02          4.80299045E+01
       4300.0000          1.42786337E+03          8.75367557E+01          1.20776421E+02          4.90102823E+01
       4400.0000          1.46042262E+03          8.91286811E+01          1.23453871E+02          4.99883583E+01
       4500.0000          1.49296140E+03          9.07159994E+01          1.26128900E+02          5.09641901E+01
       4600.0000          1.52547975E+03          9.22988273E+01          1.28801538E+02          5.19378322E+01
