#Energy      Si-K-shell   Si-L1-shell   Si-L2-shell   Si-L3-shell   C-K-shell   Valence  Total
        700.0000          1.00000000E+30          7.39860192E+02          3.80294808E+02          1.90147404E+02          3.52520184E+03          1.53397776E+01          1.33843923E+01
        710.0000          1.00000000E+30          7.39893689E+02          3.82203745E+02          1.91101873E+02          3.45564712E+03          1.55096446E+01          1.35196972E+01
        720.0000          1.00000000E+30          7.40113090E+02          3.84146605E+02          1.92073303E+02          3.39085532E+03          1.56791352E+01          1.36547476E+01
        730.0000          1.00000000E+30          7.40506383E+02          3.86121288E+02          1.93060644E+02          3.33043584E+03          1.58457269E+01          1.37876332E+01
        740.0000          1.00000000E+30          7.41062525E+02          3.88125856E+02          1.94062928E+02          3.27403620E+03          1.60145016E+01          1.39222049E+01
        750.0000          1.00000000E+30          7.41771335E+02          3.90158518E+02          1.95079259E+02          3.22134373E+03          1.61829284E+01          1.40565426E+01
        760.0000          1.00000000E+30          7.42623391E+02          3.92217590E+02          1.96108795E+02          3.17206973E+03          1.63485213E+01          1.41887733E+01
        770.0000          1.00000000E+30          7.43610120E+02          3.94301529E+02          1.97150765E+02          3.12595687E+03          1.65162665E+01          1.43226556E+01
        780.0000          1.00000000E+30          7.44723440E+02          3.96408880E+02          1.98204440E+02          3.08277040E+03          1.66836836E+01          1.44563176E+01
        790.0000          1.00000000E+30          7.45955925E+02          3.98538297E+02          1.99269148E+02          3.04229662E+03          1.68483319E+01          1.45879293E+01
        800.0000          1.00000000E+30          7.47300731E+02          4.00688522E+02          2.00344261E+02          3.00434152E+03          1.70150995E+01          1.47211573E+01
        810.0000          1.00000000E+30          7.48751446E+02          4.02858376E+02          2.01429188E+02          2.96872751E+03          1.71815549E+01          1.48541757E+01
        820.0000          1.00000000E+30          7.50302134E+02          4.05046759E+02          2.02523380E+02          2.93529328E+03          1.73476990E+01          1.49869847E+01
        830.0000          1.00000000E+30          7.51947311E+02          4.07252648E+02          2.03626324E+02          2.90389139E+03          1.75111486E+01          1.51178077E+01
        840.0000          1.00000000E+30          7.53681784E+02          4.09475074E+02          2.04737537E+02          2.87438430E+03          1.76766859E+01          1.52502108E+01
        850.0000          1.00000000E+30          7.55500773E+02          4.11713138E+02          2.05856569E+02          2.84664877E+03          1.78419289E+01          1.53824159E+01
        860.0000          1.00000000E+30          7.57399782E+02          4.13965990E+02          2.06982995E+02          2.82057014E+03          1.80068785E+01          1.55144232E+01
        870.0000          1.00000000E+30          7.59374648E+02          4.16232835E+02          2.08116418E+02          2.79604350E+03          1.81715362E+01          1.56462333E+01
        880.0000          1.00000000E+30          7.61421429E+02          4.18512927E+02          2.09256464E+02          2.77297079E+03          1.83335930E+01          1.57761362E+01
        890.0000          1.00000000E+30          7.63536475E+02          4.20805559E+02          2.10402780E+02          2.75126320E+03          1.84976943E+01          1.59075732E+01
        900.0000          1.00000000E+30          7.65716324E+02          4.23110073E+02          2.11555037E+02          2.73083794E+03          1.86615211E+01          1.60388247E+01
        910.0000          1.00000000E+30          7.67957785E+02          4.25425841E+02          2.12712921E+02          2.71161824E+03          1.88250759E+01          1.61698920E+01
        920.0000          1.00000000E+30          7.70257806E+02          4.27752276E+02          2.13876138E+02          2.69353290E+03          1.89883613E+01          1.63007767E+01
        930.0000          1.00000000E+30          7.72613539E+02          4.30088827E+02          2.15044413E+02          2.67651776E+03          1.91513804E+01          1.64314806E+01
