#Energy      B-K-shell   C-K-shell   Valence  Total
       6000.0000          2.29395172E+03          3.73242505E+03          8.49218513E+01          8.01321632E+01
       6100.0000          2.32414108E+03          3.77740613E+03          8.61334621E+01          8.12685159E+01
       6200.0000          2.35354722E+03          3.82423009E+03          8.73405538E+01          8.24007207E+01
       6300.0000          2.38289080E+03          3.86900862E+03          8.85434479E+01          8.35281423E+01
       6400.0000          2.41286383E+03          3.91560081E+03          8.97478859E+01          8.46585382E+01
       6500.0000          2.44207776E+03          3.96018708E+03          9.09489949E+01          8.57840814E+01
       6600.0000          2.47191392E+03          4.00655743E+03          9.21481107E+01          8.69094387E+01
       6700.0000          2.50100412E+03          4.05096103E+03          9.33445790E+01          8.80305765E+01
       6800.0000          2.53070900E+03          4.09711886E+03          9.45391254E+01          8.91515785E+01
       6900.0000          2.56034964E+03          4.14134874E+03          9.57308956E+01          9.02691049E+01
       7000.0000          2.58925987E+03          4.18730282E+03          9.69214294E+01          9.13854277E+01
       7100.0000          2.61877691E+03          4.23315528E+03          9.81083342E+01          9.24992194E+01
       7200.0000          2.64757658E+03          4.27712588E+03          9.92940359E+01          9.36101339E+01
       7300.0000          2.67697481E+03          4.32278666E+03          1.00479324E+02          9.47222248E+01
       7400.0000          2.70631454E+03          4.36835144E+03          1.01664370E+02          9.58339704E+01
       7500.0000          2.73495246E+03          4.41208020E+03          1.02843883E+02          9.69390218E+01
       7600.0000          2.76417997E+03          4.45746437E+03          1.04019906E+02          9.80424999E+01
       7700.0000          2.79335201E+03          4.50275768E+03          1.05201716E+02          9.91509962E+01
       7800.0000          2.82246956E+03          4.54626046E+03          1.06374955E+02          1.00250931E+02
       7900.0000          2.85090369E+03          4.59138330E+03          1.07549643E+02          1.01352067E+02
       8000.0000          2.87991689E+03          4.63642003E+03          1.08721058E+02          1.02450975E+02
       8100.0000          2.90887834E+03          4.68137213E+03          1.09890798E+02          1.03548281E+02
       8200.0000          2.93778894E+03          4.72624102E+03          1.11060021E+02          1.04645016E+02
       8300.0000          2.96664952E+03          4.76938062E+03          1.12228319E+02          1.05740007E+02
       8400.0000          2.99484764E+03          4.81409408E+03          1.13391418E+02          1.06830305E+02
       8500.0000          3.02361244E+03          4.85872848E+03          1.14557733E+02          1.07924130E+02
       8600.0000          3.05232961E+03          4.90328513E+03          1.15715656E+02          1.09010402E+02
       8700.0000          3.08099989E+03          4.94776527E+03          1.16879683E+02          1.10101986E+02
       8800.0000          3.10962400E+03          4.99217014E+03          1.18040211E+02          1.11190361E+02
       8900.0000          3.13820260E+03          5.03650091E+03          1.19195869E+02          1.12274313E+02
       9000.0000          3.16673636E+03          5.08075877E+03          1.20350153E+02          1.13356946E+02
       9100.0000          3.19463442E+03          5.12337314E+03          1.21507075E+02          1.14440278E+02
       9200.0000          3.22308280E+03          5.16749581E+03          1.22662029E+02          1.15523313E+02
       9300.0000          3.25148840E+03          5.21154895E+03          1.23814679E+02          1.16604209E+02
       9400.0000          3.27985184E+03          5.25553362E+03          1.24961376E+02          1.17679730E+02
       9500.0000          3.30817371E+03          5.29945087E+03          1.26110246E+02          1.18757085E+02
       9600.0000          3.33645460E+03          5.34330168E+03          1.27260192E+02          1.19835303E+02
       9700.0000          3.36469509E+03          5.38708706E+03          1.28407633E+02          1.20911208E+02
       9800.0000          3.39289574E+03          5.43080797E+03          1.29552734E+02          1.21984949E+02
       9900.0000          3.42105711E+03          5.47446535E+03          1.30696228E+02          1.23057177E+02
      10000.0000          3.44917975E+03          5.51806013E+03          1.31838498E+02          1.24128232E+02
      11000.0000          3.72893179E+03          5.95218145E+03          1.43199071E+02          1.34780617E+02
      12000.0000          4.00528139E+03          6.38077961E+03          1.54440182E+02          1.45319481E+02
      13000.0000          4.27911882E+03          6.80715247E+03          1.65580776E+02          1.55764557E+02
      14000.0000          4.55070767E+03          7.22768619E+03          1.76629318E+02          1.66121866E+02
      15000.0000          4.81978121E+03          7.64545106E+03          1.87589863E+02          1.76396290E+02
      16000.0000          5.08703359E+03          8.06070327E+03          1.98479017E+02          1.86603620E+02
      17000.0000          5.35216034E+03          8.47247796E+03          2.09285462E+02          1.96732957E+02
      18000.0000          5.61531888E+03          8.88105149E+03          2.20024360E+02          2.06798080E+02
      19000.0000          5.87710714E+03          9.28780110E+03          2.30716394E+02          2.16818828E+02
      20000.0000          6.13672884E+03          9.69174943E+03          2.41335968E+02          2.26770997E+02
      21000.0000          6.39563724E+03          1.00930793E+04          2.51899129E+02          2.36670852E+02
      22000.0000          6.65259252E+03          1.04930358E+04          2.62425322E+02          2.46534555E+02
      23000.0000          6.90854115E+03          1.08895917E+04          2.72878689E+02          2.56330646E+02
      24000.0000          7.16273478E+03          1.12850143E+04          2.83304852E+02          2.66099615E+02
      25000.0000          7.41606456E+03          1.16783540E+04          2.93676819E+02          2.75818354E+02
      26000.0000          7.66817609E+03          1.20697156E+04          3.04003529E+02          2.85494325E+02
      27000.0000          7.91951990E+03          1.24591978E+04          3.14306298E+02          2.95147009E+02
      28000.0000          8.16936775E+03          1.28478989E+04          3.24547277E+02          3.04742640E+02
      29000.0000          8.41817962E+03          1.32338631E+04          3.34748746E+02          3.14300411E+02
      30000.0000          8.66633821E+03          1.36191920E+04          3.44952420E+02          3.23858811E+02
