#Energy      V   O  Total
       7300.0000          1.37426567E+02          1.94460080E+02          8.05214114E+01
       7400.0000          1.38991716E+02          1.96999763E+02          8.14941355E+01
       7500.0000          1.40554363E+02          1.99537597E+02          8.24655773E+01
       7600.0000          1.42114541E+02          2.02073592E+02          8.34357521E+01
       7700.0000          1.43672283E+02          2.04607756E+02          8.44046747E+01
       7800.0000          1.45227620E+02          2.07140099E+02          8.53723594E+01
       7900.0000          1.46780583E+02          2.09670628E+02          8.63388202E+01
       8000.0000          1.48331202E+02          2.12199352E+02          8.73040706E+01
       8100.0000          1.49879505E+02          2.14726279E+02          8.82681236E+01
       8200.0000          1.51425521E+02          2.17251417E+02          8.92309921E+01
       8300.0000          1.52969276E+02          2.19774772E+02          9.01926885E+01
       8400.0000          1.54510798E+02          2.22296353E+02          9.11532247E+01
       8500.0000          1.56050112E+02          2.24816167E+02          9.21126125E+01
       8600.0000          1.57587242E+02          2.27334220E+02          9.30708632E+01
       8700.0000          1.59122214E+02          2.29850519E+02          9.40279880E+01
       8800.0000          1.60655050E+02          2.32365072E+02          9.49839975E+01
       8900.0000          1.62185775E+02          2.34877884E+02          9.59389024E+01
       9000.0000          1.63714409E+02          2.37388962E+02          9.68927127E+01
       9100.0000          1.65240976E+02          2.39898313E+02          9.78454385E+01
       9200.0000          1.66765497E+02          2.42405941E+02          9.87970895E+01
       9300.0000          1.68287991E+02          2.44911854E+02          9.97476752E+01
       9400.0000          1.69808481E+02          2.47416056E+02          1.00697205E+02
       9500.0000          1.71326984E+02          2.49918554E+02          1.01645687E+02
       9600.0000          1.72843520E+02          2.52419354E+02          1.02593131E+02
       9700.0000          1.74358109E+02          2.54918460E+02          1.03539545E+02
       9800.0000          1.75870769E+02          2.57415878E+02          1.04484938E+02
       9900.0000          1.77381516E+02          2.59911613E+02          1.05429317E+02
      10000.0000          1.78890370E+02          2.62405671E+02          1.06372691E+02
      11000.0000          1.93878295E+02          2.87255036E+02          1.15752771E+02
      12000.0000          2.08693361E+02          3.11941616E+02          1.25039898E+02
      13000.0000          2.23347837E+02          3.36469257E+02          1.34239704E+02
      14000.0000          2.37851828E+02          3.60841273E+02          1.43356849E+02
      15000.0000          2.52213798E+02          3.85060576E+02          1.52395254E+02
