#Energy      Mg   Co   Ni   Cu   Zn   O  Total
        127.0010          2.74110439E+01          5.55243830E+01          5.92889673E+01          6.33339577E+01          1.00000000E+20          7.54086122E+00          4.55045049E+00
        130.0000          2.77018758E+01          5.51468409E+01          5.88364381E+01          6.28005742E+01          1.00000000E+20          7.66034157E+00          4.59359929E+00
        140.0000          2.86835368E+01          5.40671035E+01          5.75291788E+01          6.12481292E+01          1.00000000E+20          8.05921252E+00          4.73597297E+00
        140.9990          2.87824888E+01          5.39728567E+01          5.74139176E+01          6.11102336E+01          1.00000000E+20          8.09909088E+00          4.75007306E+00
        141.0010          2.87826871E+01          5.39726703E+01          5.74136895E+01          6.11099605E+01          1.00000000E+20          8.09917072E+00          4.75010127E+00
        150.0000          2.96800934E+01          5.32201400E+01          5.64840401E+01          5.99896276E+01          1.00000000E+20          8.45856769E+00          4.87615813E+00
        160.0000          3.06880524E+01          5.25615535E+01          5.56511330E+01          5.89692254E+01          1.00000000E+20          8.85816883E+00          5.01432801E+00
        170.0000          3.17047834E+01          5.20573958E+01          5.49923050E+01          5.81442119E+01          1.00000000E+20          9.25784368E+00          5.15065562E+00
        180.0000          3.27282762E+01          5.16812730E+01          5.44778897E+01          5.74813722E+01          1.00000000E+20          9.65746662E+00          5.28530547E+00
        190.0000          3.37569750E+01          5.14123629E+01          5.40844788E+01          5.69544944E+01          1.00000000E+20          1.00569456E+01          5.41842953E+00
        200.0000          3.47896620E+01          5.12340240E+01          5.37933607E+01          5.65426226E+01          1.00000000E+20          1.04562129E+01          5.55016577E+00
        210.0000          3.58253752E+01          5.11328020E+01          5.35894042E+01          5.62288076E+01          1.00000000E+20          1.08552191E+01          5.68063805E+00
        220.0000          3.68633477E+01          5.10977058E+01          5.34602453E+01          5.59991970E+01          1.00000000E+20          1.12539280E+01          5.80995685E+00
        230.0000          3.79029643E+01          5.11196720E+01          5.33956861E+01          5.58423628E+01          1.00000000E+20          1.16523136E+01          5.93822026E+00
        240.0000          3.89437283E+01          5.11911632E+01          5.33872432E+01          5.57487964E+01          1.00000000E+20          1.20503578E+01          6.06551515E+00
        250.0000          3.99852364E+01          5.13058624E+01          5.34278049E+01          5.57105241E+01          1.00000000E+20          1.24480481E+01          6.19191840E+00
        260.0000          4.10271597E+01          5.14584379E+01          5.35113666E+01          5.57208121E+01          1.00000000E+20          1.28453767E+01          6.31749805E+00
        270.0000          4.20692291E+01          5.16443602E+01          5.36328256E+01          5.57739362E+01          1.00000000E+20          1.32423390E+01          6.44231431E+00
        280.0000          4.31112240E+01          5.18597582E+01          5.37878196E+01          5.58650014E+01          1.00000000E+20          1.36389333E+01          6.56642057E+00
        290.0000          4.41529627E+01          5.21013055E+01          5.39725984E+01          5.59897979E+01          1.00000000E+20          1.40351598E+01          6.68986422E+00
        300.0000          4.51942961E+01          5.23661286E+01          5.41839213E+01          5.61446873E+01          1.00000000E+20          1.44310204E+01          6.81268743E+00
        310.0000          4.62351009E+01          5.26517340E+01          5.44189750E+01          5.63265092E+01          1.00000000E+20          1.48265180E+01          6.93492777E+00
        320.0000          4.72752762E+01          5.29559479E+01          5.46753059E+01          5.65325066E+01          1.00000000E+20          1.52216567E+01          7.05661883E+00
        330.0000          4.83147386E+01          5.32768677E+01          5.49507654E+01          5.67602644E+01          1.00000000E+20          1.56164410E+01          7.17779071E+00
        340.0000          4.93534203E+01          5.36128214E+01          5.52434646E+01          5.70076585E+01          1.00000000E+20          1.60108761E+01          7.29847042E+00
        350.0000          5.03912656E+01          5.39623347E+01          5.55517372E+01          5.72728140E+01          1.00000000E+20          1.64049676E+01          7.41868230E+00
        360.0000          5.14282297E+01          5.43241029E+01          5.58741079E+01          5.75540706E+01          1.00000000E+20          1.67987210E+01          7.53844835E+00
        370.0000          5.24642764E+01          5.46969681E+01          5.62092662E+01          5.78499529E+01          1.00000000E+20          1.71921425E+01          7.65778847E+00
        380.0000          5.34993771E+01          5.50798992E+01          5.65560450E+01          5.81591459E+01          1.00000000E+20          1.75852380E+01          7.77672076E+00
        390.0000          5.45335095E+01          5.54719754E+01          5.69134016E+01          5.84804744E+01          1.00000000E+20          1.79780135E+01          7.89526169E+00
        400.0000          5.55666566E+01          5.58723728E+01          5.72804018E+01          5.88128850E+01          1.00000000E+20          1.83704753E+01          8.01342632E+00
        410.0000          5.65988057E+01          5.62803515E+01          5.76562069E+01          5.91554316E+01          1.00000000E+20          1.87626292E+01          8.13122846E+00
        420.0000          5.76299483E+01          5.66952460E+01          5.80400618E+01          5.95072616E+01          1.00000000E+20          1.91544812E+01          8.24868076E+00
