#Energy      Si   O  Total
       8800.0000          3.37946341E+02          3.11845241E+02          1.62185786E+02
       8900.0000          3.41452830E+02          3.15217558E+02          1.63905559E+02
       9000.0000          3.44956142E+02          3.18587547E+02          1.65623956E+02
       9100.0000          3.48456300E+02          3.21955217E+02          1.67340985E+02
       9200.0000          3.51953325E+02          3.25320577E+02          1.69056652E+02
       9300.0000          3.55447238E+02          3.28683633E+02          1.70770966E+02
       9400.0000          3.58938059E+02          3.32044395E+02          1.72483932E+02
       9500.0000          3.62425810E+02          3.35402870E+02          1.74195559E+02
       9600.0000          3.65910508E+02          3.38759064E+02          1.75905852E+02
       9700.0000          3.69392174E+02          3.42112987E+02          1.77614818E+02
       9800.0000          3.72870825E+02          3.45464643E+02          1.79322465E+02
       9900.0000          3.76346480E+02          3.48814042E+02          1.81028797E+02
      10000.0000          3.79819157E+02          3.52161188E+02          1.82733821E+02
      11000.0000          4.14385759E+02          3.85510246E+02          1.99713406E+02
      12000.0000          4.48671468E+02          4.18640839E+02          2.16568125E+02
      13000.0000          4.82688953E+02          4.51558127E+02          2.33302436E+02
      14000.0000          5.16448778E+02          4.84266560E+02          2.49920096E+02
      15000.0000          5.49959908E+02          5.16770043E+02          2.66424323E+02
      16000.0000          5.83230070E+02          5.49072064E+02          2.82817924E+02
      17000.0000          6.16266016E+02          5.81175778E+02          2.99103374E+02
      18000.0000          6.49073714E+02          6.13084070E+02          3.15282890E+02
      19000.0000          6.81658498E+02          6.44799606E+02          3.31358472E+02
      20000.0000          7.14025176E+02          6.76324872E+02          3.47331945E+02
      21000.0000          7.46178122E+02          7.07662200E+02          3.63204984E+02
      22000.0000          7.78121343E+02          7.38813790E+02          3.78979144E+02
      23000.0000          8.09858534E+02          7.69781736E+02          3.94655872E+02
      24000.0000          8.41393124E+02          8.00568032E+02          4.10236524E+02
      25000.0000          8.72728313E+02          8.31174588E+02          4.25722378E+02
      26000.0000          9.03867098E+02          8.61603242E+02          4.41114645E+02
      27000.0000          9.34812305E+02          8.91855764E+02          4.56414472E+02
      28000.0000          9.65566604E+02          9.21933869E+02          4.71622957E+02
      29000.0000          9.96132528E+02          9.51839215E+02          4.86741149E+02
      30000.0000          1.02651249E+03          9.81573415E+02          5.01770053E+02
      31000.0000          1.05670879E+03          1.01113804E+03          5.16710639E+02
      32000.0000          1.08672365E+03          1.04053461E+03          5.31563840E+02
      33000.0000          1.11655916E+03          1.06976464E+03          5.46330560E+02
      34000.0000          1.14621738E+03          1.09882956E+03          5.61011674E+02
      35000.0000          1.17570027E+03          1.12773082E+03          5.75608029E+02
      36000.0000          1.20500973E+03          1.15646981E+03          5.90120450E+02
      37000.0000          1.23414758E+03          1.18504790E+03          6.04549740E+02
      38000.0000          1.26311562E+03          1.21346644E+03          6.18896680E+02
      39000.0000          1.29191557E+03          1.24172675E+03          6.33162032E+02
      40000.0000          1.32054911E+03          1.26983013E+03          6.47346543E+02
      41000.0000          1.34901788E+03          1.29777785E+03          6.61450940E+02
      42000.0000          1.37732346E+03          1.32557118E+03          6.75475936E+02
      43000.0000          1.40546742E+03          1.35321136E+03          6.89422229E+02
      44000.0000          1.43345126E+03          1.38069959E+03          7.03290504E+02
      45000.0000          1.46127648E+03          1.40803709E+03          7.17081431E+02
      46000.0000          1.48894452E+03          1.43522503E+03          7.30795669E+02
      47000.0000          1.51645680E+03          1.46226459E+03          7.44433866E+02
      48000.0000          1.54381472E+03          1.48915691E+03          7.57996657E+02
      49000.0000          1.57101963E+03          1.51590313E+03          7.71484667E+02
      50000.0000          1.59807287E+03          1.54250438E+03          7.84898511E+02
