#Energy      O  Total
       7100.0000          4.89914203E+01          4.89914203E+01
       7200.0000          4.96494010E+01          4.96494010E+01
       7300.0000          5.03068985E+01          5.03068985E+01
       7400.0000          5.09639154E+01          5.09639154E+01
       7500.0000          5.16204541E+01          5.16204541E+01
       7600.0000          5.22765169E+01          5.22765169E+01
       7700.0000          5.29321063E+01          5.29321063E+01
       7800.0000          5.35872243E+01          5.35872243E+01
       7900.0000          5.42418733E+01          5.42418733E+01
       8000.0000          5.48960552E+01          5.48960552E+01
       8100.0000          5.55497722E+01          5.55497722E+01
       8200.0000          5.62030262E+01          5.62030262E+01
       8300.0000          5.68558193E+01          5.68558193E+01
       8400.0000          5.75081532E+01          5.75081532E+01
       8500.0000          5.81600300E+01          5.81600300E+01
       8600.0000          5.88114513E+01          5.88114513E+01
       8700.0000          5.94624190E+01          5.94624190E+01
       8800.0000          6.01129347E+01          6.01129347E+01
       8900.0000          6.07630002E+01          6.07630002E+01
       9000.0000          6.14126171E+01          6.14126171E+01
       9100.0000          6.20617870E+01          6.20617870E+01
       9200.0000          6.27105115E+01          6.27105115E+01
       9300.0000          6.33587920E+01          6.33587920E+01
       9400.0000          6.40066302E+01          6.40066302E+01
       9500.0000          6.46540275E+01          6.46540275E+01
       9600.0000          6.53009853E+01          6.53009853E+01
       9700.0000          6.59475050E+01          6.59475050E+01
       9800.0000          6.65935881E+01          6.65935881E+01
       9900.0000          6.72392358E+01          6.72392358E+01
      10000.0000          6.78844494E+01          6.78844494E+01
      11000.0000          7.43129897E+01          7.43129897E+01
      12000.0000          8.06994177E+01          8.06994177E+01
      13000.0000          8.70447280E+01          8.70447280E+01
      14000.0000          9.33497781E+01          9.33497781E+01
      15000.0000          9.96153211E+01          9.96153211E+01
      16000.0000          1.05842029E+02          1.05842029E+02
      17000.0000          1.12030510E+02          1.12030510E+02
      18000.0000          1.18181321E+02          1.18181321E+02
      19000.0000          1.24294975E+02          1.24294975E+02
      20000.0000          1.30371952E+02          1.30371952E+02
      21000.0000          1.36412701E+02          1.36412701E+02
      22000.0000          1.42417646E+02          1.42417646E+02
      23000.0000          1.48387190E+02          1.48387190E+02
      24000.0000          1.54321719E+02          1.54321719E+02
      25000.0000          1.60221601E+02          1.60221601E+02
      26000.0000          1.66087189E+02          1.66087189E+02
      27000.0000          1.71918824E+02          1.71918824E+02
      28000.0000          1.77716839E+02          1.77716839E+02
      29000.0000          1.83481551E+02          1.83481551E+02
      30000.0000          1.89213272E+02          1.89213272E+02
      31000.0000          1.94912305E+02          1.94912305E+02
      32000.0000          2.00578944E+02          2.00578944E+02
      33000.0000          2.06213478E+02          2.06213478E+02
      34000.0000          2.11816186E+02          2.11816186E+02
      35000.0000          2.17387345E+02          2.17387345E+02
      36000.0000          2.22927224E+02          2.22927224E+02
      37000.0000          2.28436088E+02          2.28436088E+02
      38000.0000          2.33914195E+02          2.33914195E+02
      39000.0000          2.39361802E+02          2.39361802E+02
      40000.0000          2.44779158E+02          2.44779158E+02
      41000.0000          2.50166509E+02          2.50166509E+02
      42000.0000          2.55524098E+02          2.55524098E+02
      43000.0000          2.60852164E+02          2.60852164E+02
      44000.0000          2.66150941E+02          2.66150941E+02
      45000.0000          2.71420661E+02          2.71420661E+02
      46000.0000          2.76661552E+02          2.76661552E+02
      47000.0000          2.81873840E+02          2.81873840E+02
      48000.0000          2.87057746E+02          2.87057746E+02
      49000.0000          2.92213489E+02          2.92213489E+02
      50000.0000          2.97341287E+02          2.97341287E+02
