#Energy      Nb  Total
      14000.0000          8.75573103E+01          8.75573103E+01
      15000.0000          9.20445077E+01          9.20445077E+01
      16000.0000          9.64659936E+01          9.64659936E+01
      17000.0000          1.00826073E+02          1.00826073E+02
      18000.0000          1.05128475E+02          1.05128475E+02
      18989.9990          1.09334234E+02          1.09334234E+02
      18990.0010          1.09334242E+02          1.09334242E+02
      19000.0000          1.09376458E+02          1.09376458E+02
      20000.0000          1.13572892E+02          1.13572892E+02
      21000.0000          1.17720320E+02          1.17720320E+02
      22000.0000          1.21821013E+02          1.21821013E+02
      23000.0000          1.25877009E+02          1.25877009E+02
      24000.0000          1.29890145E+02          1.29890145E+02
      25000.0000          1.33862090E+02          1.33862090E+02
      26000.0000          1.37794361E+02          1.37794361E+02
      27000.0000          1.41688348E+02          1.41688348E+02
      28000.0000          1.45545327E+02          1.45545327E+02
      29000.0000          1.49366474E+02          1.49366474E+02
      30000.0000          1.53152875E+02          1.53152875E+02
      31000.0000          1.56905539E+02          1.56905539E+02
      32000.0000          1.60625405E+02          1.60625405E+02
      33000.0000          1.64313349E+02          1.64313349E+02
      34000.0000          1.67970190E+02          1.67970190E+02
      35000.0000          1.71596696E+02          1.71596696E+02
      36000.0000          1.75193590E+02          1.75193590E+02
      37000.0000          1.78761551E+02          1.78761551E+02
      38000.0000          1.82301223E+02          1.82301223E+02
      39000.0000          1.85813212E+02          1.85813212E+02
      40000.0000          1.89298095E+02          1.89298095E+02
      41000.0000          1.92756418E+02          1.92756418E+02
      42000.0000          1.96188702E+02          1.96188702E+02
      43000.0000          1.99595441E+02          1.99595441E+02
      44000.0000          2.02977108E+02          2.02977108E+02
      45000.0000          2.06334153E+02          2.06334153E+02
      46000.0000          2.09667009E+02          2.09667009E+02
      47000.0000          2.12976089E+02          2.12976089E+02
      48000.0000          2.16261790E+02          2.16261790E+02
      49000.0000          2.19524492E+02          2.19524492E+02
      50000.0000          2.22764562E+02          2.22764562E+02
