#Energy      Al-K-shell   Al-L1-shell   Al-L2-shell   Al-L3-shell   S-K-shell   S-L1-shell   S-L2-shell   S-L3-shell   Valence  Total
         83.0000          1.00000000E+30          1.00000000E+30          3.14474176E+04          1.57237088E+04          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.51252664E+00          5.50962924E+00
         84.0000          1.00000000E+30          1.00000000E+30          2.48680860E+04          1.24340430E+04          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.51616048E+00          5.51249219E+00
         85.0000          1.00000000E+30          1.00000000E+30          2.02906465E+04          1.01453233E+04          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.52067074E+00          5.51616823E+00
         86.0000          1.00000000E+30          1.00000000E+30          1.69554678E+04          8.47773392E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.52601290E+00          5.52061518E+00
         87.0000          1.00000000E+30          1.00000000E+30          1.44395689E+04          7.21978444E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.53214509E+00          5.52579389E+00
         88.0000          1.00000000E+30          1.00000000E+30          1.24883390E+04          6.24416950E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.53902786E+00          5.53166738E+00
         89.0000          1.00000000E+30          1.00000000E+30          1.09388839E+04          5.46944193E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.54662406E+00          5.53819953E+00
         90.0000          1.00000000E+30          1.00000000E+30          9.68510065E+03          4.84255033E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.55489870E+00          5.54535707E+00
         91.0000          1.00000000E+30          1.00000000E+30          8.65389973E+03          4.32694987E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.56381878E+00          5.55310806E+00
         92.0000          1.00000000E+30          1.00000000E+30          7.79415460E+03          3.89707730E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.57335318E+00          5.56142279E+00
         93.0000          1.00000000E+30          1.00000000E+30          7.06846449E+03          3.53423225E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.58347255E+00          5.57027246E+00
         94.0000          1.00000000E+30          1.00000000E+30          6.44960801E+03          3.22480401E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.59414919E+00          5.57963050E+00
         95.0000          1.00000000E+30          1.00000000E+30          5.91677124E+03          2.95838562E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.60535692E+00          5.58947107E+00
         96.0000          1.00000000E+30          1.00000000E+30          5.45432891E+03          2.72716445E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.61707104E+00          5.59977048E+00
         97.0000          1.00000000E+30          1.00000000E+30          5.05007676E+03          2.52503838E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.62926817E+00          5.61050626E+00
         98.0000          1.00000000E+30          1.00000000E+30          4.69421750E+03          2.34710875E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.64192623E+00          5.62165642E+00
         99.0000          1.00000000E+30          1.00000000E+30          4.37907257E+03          2.18953628E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.65502432E+00          5.63320059E+00
        100.0000          1.00000000E+30          1.00000000E+30          4.09827193E+03          2.04913596E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.66854264E+00          5.64511843E+00
        110.0000          1.00000000E+30          1.00000000E+30          2.41294698E+03          1.20647349E+03          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.82316102E+00          5.78130498E+00
        120.0000          1.00000000E+30          1.00000000E+30          1.65785016E+03          8.28925079E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.00419525E+00          5.93966068E+00
        120.9990          1.00000000E+30          1.00000000E+30          1.60584671E+03          8.02923354E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.02335866E+00          5.95633395E+00
        121.0010          1.00000000E+30          2.41575841E+10          1.60574615E+03          8.02873073E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.02339719E+00          5.95636748E+00
        130.0000          1.00000000E+30          7.46960945E+04          1.24649707E+03          6.23248537E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.20281833E+00          6.11108099E+00
        140.0000          1.00000000E+30          2.37255958E+04          9.94593151E+02          4.97296575E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.41344913E+00          6.29006782E+00
        150.0000          1.00000000E+30          1.24247235E+04          8.27998118E+02          4.13999059E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.63242792E+00          6.47341243E+00
        160.0000          1.00000000E+30          7.94450941E+03          7.11759665E+02          3.55879832E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.85727914E+00          6.65906583E+00
        167.9990          1.00000000E+30          6.02293829E+03          6.42351920E+02          3.21175960E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.04019168E+00          6.80837361E+00
        168.0010          1.00000000E+30          6.02256502E+03          6.42336606E+02          3.21168303E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.07694421E+10          7.04023769E+00          6.80841100E+00
        169.9990          1.00000000E+30          5.66544806E+03          6.27463854E+02          3.13731927E+02          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.09551728E+06          7.08626049E+00          6.84571744E+00
        170.0000          1.00000000E+30          5.66528028E+03          6.27456634E+02          3.13728317E+02          1.00000000E+30          1.00000000E+30          6.36648035E+10          1.09485988E+06          7.08628355E+00          6.84573611E+00
        170.0010          1.00000000E+30          5.66511251E+03          6.27449413E+02          3.13724707E+02          1.00000000E+30          1.00000000E+30          6.36661872E+10          1.09420318E+06          7.08630662E+00          6.84575479E+00
        180.0000          1.00000000E+30          4.32908852E+03          5.64527532E+02          2.82263766E+02          1.00000000E+30          1.00000000E+30          1.99307656E+05          7.23965794E+04          7.31822027E+00          7.03189145E+00
        190.0000          1.00000000E+30          3.47022032E+03          5.16508246E+02          2.58254123E+02          1.00000000E+30          1.00000000E+30          6.86562692E+04          2.84702872E+04          7.55220576E+00          7.21720805E+00
        200.0000          1.00000000E+30          2.88136110E+03          4.79233061E+02          2.39616531E+02          1.00000000E+30          1.00000000E+30          3.67278863E+04          1.59748554E+04          7.78759038E+00          7.40157876E+00
        210.0000          1.00000000E+30          2.45802121E+03          4.49904058E+02          2.24952029E+02          1.00000000E+30          1.00000000E+30          2.36074327E+04          1.05283366E+04          8.02389001E+00          7.58494623E+00
        220.0000          1.00000000E+30          2.14244410E+03          4.26578450E+02          2.13289225E+02          1.00000000E+30          1.00000000E+30          1.68077862E+04          7.61371198E+03          8.26073989E+00          7.76730214E+00
        230.0000          1.00000000E+30          1.90046155E+03          4.07871389E+02          2.03935694E+02          1.00000000E+30          1.00000000E+30          1.27783281E+04          5.85069059E+03          8.49786263E+00          7.94866596E+00
        231.9990          1.00000000E+30          1.85887988E+03          4.04591874E+02          2.02295937E+02          1.00000000E+30          1.00000000E+30          1.21691976E+04          5.58166252E+03          8.54527656E+00          7.98480430E+00
        232.0010          1.00000000E+30          1.85883933E+03          4.04588664E+02          2.02294332E+02          1.00000000E+30          1.56344093E+11          1.21686199E+04          5.58140676E+03          8.54532400E+00          7.98484045E+00
        240.0000          1.00000000E+30          1.71067955E+03          3.92773383E+02          1.96386691E+02          1.00000000E+30          8.06799843E+05          1.01700766E+04          4.69329293E+03          8.73449025E+00          8.12850565E+00
        250.0000          1.00000000E+30          1.55909887E+03          3.80534757E+02          1.90267379E+02          1.00000000E+30          2.33309114E+05          8.37275096E+03          3.88739571E+03          8.96630268E+00          8.30325531E+00
        260.0000          1.00000000E+30          1.43620227E+03          3.70590123E+02          1.85295061E+02          1.00000000E+30          1.17916440E+05          7.07510664E+03          3.30092178E+03          9.20866555E+00          8.48625482E+00
        270.0000          1.00000000E+30          1.33531648E+03          3.62506396E+02          1.81253198E+02          1.00000000E+30          7.34940793E+04          6.10379954E+03          2.85917026E+03          9.44402732E+00          8.66259703E+00
        280.0000          1.00000000E+30          1.25162854E+03          3.55947979E+02          1.77973989E+02          1.00000000E+30          5.12261084E+04          5.35559700E+03          2.51717342E+03          9.67831793E+00          8.83748151E+00
        290.0000          1.00000000E+30          1.18158908E+03          3.50651659E+02          1.75325830E+02          1.00000000E+30          3.82963976E+04          4.76569541E+03          2.24644370E+03          9.91677820E+00          9.01533499E+00
        300.0000          1.00000000E+30          1.12252667E+03          3.46408785E+02          1.73204393E+02          1.00000000E+30          3.00445217E+04          4.29158881E+03          2.02812702E+03          1.01489083E+01          9.18752301E+00
        310.0000          1.00000000E+30          1.07239576E+03          3.43052147E+02          1.71526073E+02          1.00000000E+30          2.44172642E+04          3.90439755E+03          1.84933854E+03          1.03850287E+01          9.36261287E+00
        320.0000          1.00000000E+30          1.02960851E+03          3.40446603E+02          1.70223302E+02          1.00000000E+30          2.03867732E+04          3.58388974E+03          1.70100085E+03          1.06200059E+01          9.53642749E+00
