#Energy      C   H   F  Total
       2000.0000          1.49195515E+02          8.98534560E+02          9.71048437E+01          5.52068779E+01
       2100.0000          1.56362836E+02          9.43043479E+02          1.01619176E+02          5.78153641E+01
       2200.0000          1.63522057E+02          9.87525665E+02          1.06125605E+02          6.04199980E+01
       2300.0000          1.70673440E+02          1.03198119E+03          1.10624478E+02          6.30209348E+01
       2400.0000          1.77817224E+02          1.07641011E+03          1.15116105E+02          6.56183139E+01
       2500.0000          1.84953620E+02          1.12081249E+03          1.19600769E+02          6.82122609E+01
       2600.0000          1.92082823E+02          1.16518839E+03          1.24078725E+02          7.08028898E+01
       2700.0000          1.99205008E+02          1.20953786E+03          1.28550203E+02          7.33903038E+01
       2800.0000          2.06320335E+02          1.25386094E+03          1.33015417E+02          7.59745974E+01
       2900.0000          2.13428951E+02          1.29815768E+03          1.37474559E+02          7.85558569E+01
       3000.0000          2.20530990E+02          1.34242814E+03          1.41927809E+02          8.11341616E+01
       3100.0000          2.27626578E+02          1.38667234E+03          1.46375330E+02          8.37095846E+01
       3200.0000          2.34715828E+02          1.43089033E+03          1.50817273E+02          8.62821934E+01
       3300.0000          2.41798847E+02          1.47508216E+03          1.55253781E+02          8.88520502E+01
       3400.0000          2.48875734E+02          1.51924785E+03          1.59684982E+02          9.14192133E+01
       3500.0000          2.55946581E+02          1.56338745E+03          1.64110999E+02          9.39837364E+01
       3600.0000          2.63011473E+02          1.60750099E+03          1.68531944E+02          9.65456699E+01
       3700.0000          2.70070491E+02          1.65158850E+03          1.72947923E+02          9.91050608E+01
       3800.0000          2.77123709E+02          1.69565001E+03          1.77359035E+02          1.01661953E+02
       3900.0000          2.84171199E+02          1.73968557E+03          1.81765373E+02          1.04216388E+02
       4000.0000          2.91213026E+02          1.78369519E+03          1.86167025E+02          1.06768404E+02
       4100.0000          2.98249253E+02          1.82767892E+03          1.90564072E+02          1.09318038E+02
       4200.0000          3.05279938E+02          1.87163677E+03          1.94956591E+02          1.11865323E+02
       4300.0000          3.12305139E+02          1.91556879E+03          1.99344655E+02          1.14410294E+02
       4400.0000          3.19324906E+02          1.95947500E+03          2.03728335E+02          1.16952980E+02
       4500.0000          3.26339291E+02          2.00335542E+03          2.08107693E+02          1.19493410E+02
       4600.0000          3.33348341E+02          2.04721009E+03          2.12482794E+02          1.22031611E+02
       4700.0000          3.40352099E+02          2.09103903E+03          2.16853695E+02          1.24567611E+02
       4800.0000          3.47350611E+02          2.13484227E+03          2.21220452E+02          1.27101433E+02
       4900.0000          3.54343915E+02          2.17861984E+03          2.25583118E+02          1.29633102E+02
       5000.0000          3.61332052E+02          2.22237176E+03          2.29941744E+02          1.32162640E+02
       5100.0000          3.68315058E+02          2.26609806E+03          2.34296377E+02          1.34690067E+02
       5200.0000          3.75292969E+02          2.30979876E+03          2.38647064E+02          1.37215406E+02
       5300.0000          3.82265819E+02          2.35347389E+03          2.42993849E+02          1.39738675E+02
       5400.0000          3.89233641E+02          2.39712348E+03          2.47336774E+02          1.42259893E+02
       5500.0000          3.96196465E+02          2.44074754E+03          2.51675878E+02          1.44779078E+02
       5600.0000          4.03154322E+02          2.48434611E+03          2.56011200E+02          1.47296247E+02
       5700.0000          4.10107241E+02          2.52791921E+03          2.60342777E+02          1.49811416E+02
       5800.0000          4.17055249E+02          2.57146686E+03          2.64670644E+02          1.52324602E+02
       5900.0000          4.23998373E+02          2.61498908E+03          2.68994835E+02          1.54835820E+02
       6000.0000          4.30936638E+02          2.65848591E+03          2.73315384E+02          1.57345083E+02
       6100.0000          4.37870070E+02          2.70195735E+03          2.77632320E+02          1.59852407E+02
       6200.0000          4.44798691E+02          2.74540345E+03          2.81945675E+02          1.62357804E+02
       6300.0000          4.51722526E+02          2.78882421E+03          2.86255477E+02          1.64861289E+02
       6400.0000          4.58641597E+02          2.83221966E+03          2.90561755E+02          1.67362872E+02
       6500.0000          4.65555924E+02          2.87558983E+03          2.94864535E+02          1.69862567E+02
       6600.0000          4.72465529E+02          2.91893473E+03          2.99163843E+02          1.72360385E+02
       6700.0000          4.79370432E+02          2.96225440E+03          3.03459705E+02          1.74856338E+02
       6800.0000          4.86270653E+02          3.00554884E+03          3.07752145E+02          1.77350436E+02
       6900.0000          4.93166210E+02          3.04881809E+03          3.12041186E+02          1.79842690E+02
       7000.0000          5.00057121E+02          3.09206217E+03          3.16326851E+02          1.82333110E+02
       7100.0000          5.06943405E+02          3.13528110E+03          3.20609163E+02          1.84821706E+02
       7200.0000          5.13825079E+02          3.17847489E+03          3.24888142E+02          1.87308488E+02
       7300.0000          5.20702160E+02          3.22164358E+03          3.29163809E+02          1.89793465E+02
       7400.0000          5.27574663E+02          3.26478719E+03          3.33436184E+02          1.92276646E+02
       7500.0000          5.34442605E+02          3.30790572E+03          3.37705286E+02          1.94758040E+02
       7600.0000          5.41306002E+02          3.35099922E+03          3.41971135E+02          1.97237656E+02
       7700.0000          5.48164868E+02          3.39406769E+03          3.46233748E+02          1.99715501E+02
       7800.0000          5.55019218E+02          3.43711116E+03          3.50493143E+02          2.02191584E+02
       7900.0000          5.61869067E+02          3.48012966E+03          3.54749338E+02          2.04665913E+02
       8000.0000          5.68714428E+02          3.52312319E+03          3.59002350E+02          2.07138494E+02
       8100.0000          5.75555315E+02          3.56609179E+03          3.63252194E+02          2.09609337E+02
       8200.0000          5.82391741E+02          3.60903547E+03          3.67498886E+02          2.12078447E+02
       8300.0000          5.89223719E+02          3.65195426E+03          3.71742442E+02          2.14545832E+02
       8400.0000          5.96051262E+02          3.69484817E+03          3.75982877E+02          2.17011499E+02
       8500.0000          6.02874382E+02          3.73771723E+03          3.80220206E+02          2.19475454E+02
       8600.0000          6.09693092E+02          3.78056146E+03          3.84454443E+02          2.21937704E+02
       8700.0000          6.16507403E+02          3.82338087E+03          3.88685602E+02          2.24398256E+02
       8800.0000          6.23317327E+02          3.86617549E+03          3.92913696E+02          2.26857115E+02
       8900.0000          6.30122875E+02          3.90894534E+03          3.97138738E+02          2.29314288E+02
       9000.0000          6.36924058E+02          3.95169044E+03          4.01360742E+02          2.31769780E+02
       9100.0000          6.43720888E+02          3.99441081E+03          4.05579721E+02          2.34223598E+02
       9200.0000          6.50513374E+02          4.03710647E+03          4.09795686E+02          2.36675747E+02
       9300.0000          6.57301528E+02          4.07977744E+03          4.14008649E+02          2.39126232E+02
       9400.0000          6.64085359E+02          4.12242374E+03          4.18218623E+02          2.41575060E+02
       9500.0000          6.70864878E+02          4.16504539E+03          4.22425619E+02          2.44022235E+02
       9600.0000          6.77640094E+02          4.20764242E+03          4.26629648E+02          2.46467762E+02
       9700.0000          6.84411018E+02          4.25021483E+03          4.30830721E+02          2.48911647E+02
       9800.0000          6.91177658E+02          4.29276265E+03          4.35028850E+02          2.51353895E+02
       9900.0000          6.97940025E+02          4.33528590E+03          4.39224043E+02          2.53794510E+02
      10000.0000          7.04698127E+02          4.37778461E+03          4.43416313E+02          2.56233497E+02
      11000.0000          7.72046508E+02          4.80142579E+03          4.85180316E+02          2.80534842E+02
      12000.0000          8.38977522E+02          5.22263364E+03          5.26661910E+02          3.04678090E+02
      13000.0000          9.05498370E+02          5.64142743E+03          5.67868745E+02          3.28666852E+02
      14000.0000          9.71615421E+02          6.05782611E+03          6.08807359E+02          3.52504251E+02
      15000.0000          1.03733441E+03          6.47184837E+03          6.49483442E+02          3.76193034E+02
      16000.0000          1.10266058E+03          6.88351260E+03          6.89902030E+02          3.99735659E+02
      17000.0000          1.16759877E+03          7.29283700E+03          7.30067636E+02          4.23134355E+02
      18000.0000          1.23215351E+03          7.69983952E+03          7.69984356E+02          4.46391165E+02
      19000.0000          1.29632906E+03          8.10453792E+03          8.09655947E+02          4.69507980E+02
      20000.0000          1.36012947E+03          8.50694975E+03          8.49085882E+02          4.92486566E+02
      21000.0000          1.42355858E+03          8.90709236E+03          8.88277397E+02          5.15328582E+02
      22000.0000          1.48662009E+03          9.30498293E+03          9.27233529E+02          5.38035599E+02
      23000.0000          1.54931755E+03          9.70063846E+03          9.65957145E+02          5.60609109E+02
      24000.0000          1.61165441E+03          1.00940758E+04          1.00445096E+03          5.83050539E+02
      25000.0000          1.67363399E+03          1.04853115E+04          1.04271757E+03          6.05361258E+02
      26000.0000          1.73525952E+03          1.08743622E+04          1.08075945E+03          6.27542581E+02
      27000.0000          1.79653415E+03          1.12612441E+04          1.11857898E+03          6.49595779E+02
      28000.0000          1.85746094E+03          1.16459734E+04          1.15617845E+03          6.71522082E+02
      29000.0000          1.91804290E+03          1.20285661E+04          1.19356006E+03          6.93322685E+02
      30000.0000          1.97828296E+03          1.24090381E+04          1.23072596E+03          7.14998745E+02
      31000.0000          2.03818398E+03          1.27874050E+04          1.26767822E+03          7.36551395E+02
      32000.0000          2.09774880E+03          1.31636825E+04          1.30441886E+03          7.57981734E+02
      33000.0000          2.15698016E+03          1.35378858E+04          1.34094983E+03          7.79290840E+02
      34000.0000          2.21588081E+03          1.39100303E+04          1.37727306E+03          8.00479766E+02
      35000.0000          2.27445339E+03          1.42801311E+04          1.41339040E+03          8.21549541E+02
      36000.0000          2.33270055E+03          1.46482032E+04          1.44930368E+03          8.42501177E+02
      37000.0000          2.39062488E+03          1.50142614E+04          1.48501469E+03          8.63335664E+02
      38000.0000          2.44822892E+03          1.53783203E+04          1.52052517E+03          8.84053976E+02
      39000.0000          2.50551518E+03          1.57403946E+04          1.55583684E+03          9.04657068E+02
      40000.0000          2.56248616E+03          1.61004986E+04          1.59095137E+03          9.25145880E+02
      41000.0000          2.61914428E+03          1.64586467E+04          1.62587042E+03          9.45521338E+02
      42000.0000          2.67549197E+03          1.68148531E+04          1.66059561E+03          9.65784351E+02
      43000.0000          2.73153161E+03          1.71691316E+04          1.69512854E+03          9.85935816E+02
      44000.0000          2.78726554E+03          1.75214964E+04          1.72947076E+03          1.00597662E+03
      45000.0000          2.84269609E+03          1.78719611E+04          1.76362382E+03          1.02590762E+03
