#Energy      C   H  Total
      27000.0000          1.35765607E+03          4.25510874E+03          1.02925642E+03
      28000.0000          1.40369896E+03          4.40048034E+03          1.06422448E+03
      29000.0000          1.44948126E+03          4.54504462E+03          1.09899550E+03
      30000.0000          1.49500518E+03          4.68880756E+03          1.13357113E+03
      31000.0000          1.54027289E+03          4.83177511E+03          1.16795294E+03
      32000.0000          1.58528652E+03          4.97395314E+03          1.20214252E+03
      33000.0000          1.63004817E+03          5.11534746E+03          1.23614140E+03
      34000.0000          1.67455988E+03          5.25596384E+03          1.26995110E+03
      35000.0000          1.71882368E+03          5.39580800E+03          1.30357311E+03
      36000.0000          1.76284156E+03          5.53488559E+03          1.33700892E+03
      37000.0000          1.80661546E+03          5.67320221E+03          1.37025998E+03
      38000.0000          1.85014732E+03          5.81076342E+03          1.40332771E+03
      39000.0000          1.89343903E+03          5.94757471E+03          1.43621354E+03
      40000.0000          1.93649248E+03          6.08364155E+03          1.46891886E+03
      41000.0000          1.97930951E+03          6.21896933E+03          1.50144504E+03
      42000.0000          2.02189193E+03          6.35356340E+03          1.53379346E+03
      43000.0000          2.06424156E+03          6.48742907E+03          1.56596544E+03
      44000.0000          2.10636016E+03          6.62057158E+03          1.59796234E+03
      45000.0000          2.14824950E+03          6.75299615E+03          1.62978545E+03
      46000.0000          2.18991131E+03          6.88470792E+03          1.66143607E+03
      47000.0000          2.23134729E+03          7.01571203E+03          1.69291550E+03
      48000.0000          2.27255915E+03          7.14601353E+03          1.72422499E+03
      49000.0000          2.31354855E+03          7.27561744E+03          1.75536582E+03
      50000.0000          2.35431716E+03          7.40452873E+03          1.78633921E+03
