#Energy      C-K-shell   Valence  Total
      25000.0000          4.47014842E+05          1.50433584E+03          1.49929029E+03
      26000.0000          4.61995071E+05          1.55857073E+03          1.55333047E+03
      27000.0000          4.76903364E+05          1.61266001E+03          1.60722515E+03
      28000.0000          4.91781759E+05          1.66657195E+03          1.66094327E+03
      29000.0000          5.06555394E+05          1.72016490E+03          1.71434332E+03
      30000.0000          5.21304709E+05          1.77383486E+03          1.76781953E+03
      31000.0000          5.35992976E+05          1.82718041E+03          1.82097278E+03
      32000.0000          5.50586383E+05          1.88034571E+03          1.87394586E+03
      33000.0000          5.65161482E+05          1.93346435E+03          1.92687236E+03
      34000.0000          5.79682905E+05          1.98644500E+03          1.97966114E+03
      35000.0000          5.94152680E+05          2.03926770E+03          2.03229240E+03
      36000.0000          6.08607601E+05          2.09195401E+03          2.08478801E+03
      37000.0000          6.22980167E+05          2.14466315E+03          2.13730529E+03
      38000.0000          6.37306094E+05          2.19715825E+03          2.18960941E+03
      39000.0000          6.51620306E+05          2.24932350E+03          2.24158579E+03
      40000.0000          6.65858932E+05          2.30179009E+03          2.29386050E+03
      41000.0000          6.80087036E+05          2.35376981E+03          2.34565155E+03
      42000.0000          6.94243197E+05          2.40595348E+03          2.39764426E+03
      43000.0000          7.08390234E+05          2.45761316E+03          2.44911646E+03
      44000.0000          7.22500333E+05          2.50963774E+03          2.50095057E+03
      45000.0000          7.36541453E+05          2.56141979E+03          2.55254298E+03
      46000.0000          7.50575975E+05          2.61296886E+03          2.60390393E+03
      47000.0000          7.64576146E+05          2.66433865E+03          2.65508640E+03
      48000.0000          7.78542040E+05          2.71579619E+03          2.70635558E+03
      49000.0000          7.92474224E+05          2.76724267E+03          2.75761336E+03
      50000.0000          8.06373727E+05          2.81854337E+03          2.80872595E+03
