#Energy      C-K-shell   N-K-shell   O-K-shell   Valence  Total
       3100.0000          5.86633504E+06          1.20094526E+07          7.61497288E+06          4.93196229E+07          2.46713736E+06
       3200.0000          6.48427404E+06          1.32609830E+07          8.37245636E+06          5.41096524E+07          2.72072781E+06
       3300.0000          7.09842591E+06          1.44880542E+07          9.20103013E+06          5.94081549E+07          2.98138240E+06
       3400.0000          7.76958281E+06          1.58380748E+07          1.00185433E+07          6.48475100E+07          3.25646206E+06
       3500.0000          8.50400872E+06          1.73140048E+07          1.09121579E+07          7.08362953E+07          3.55737348E+06
       3600.0000          9.25720618E+06          1.87990182E+07          1.18870722E+07          7.69655987E+07          3.87092716E+06
       3700.0000          1.00945033E+07          2.04607422E+07          1.28639986E+07          8.36832851E+07          4.20832840E+06
       3800.0000          1.09733180E+07          2.21234431E+07          1.39584744E+07          9.06708743E+07          4.56618863E+06
       3900.0000          1.18455079E+07          2.39691998E+07          1.50177999E+07          9.78514538E+07          4.92737984E+06
       4000.0000          1.28235604E+07          2.59129914E+07          1.62115517E+07          1.05555649E+08          5.32679259E+06
       4100.0000          1.38009211E+07          2.78487909E+07          1.74774809E+07          1.13705795E+08          5.73466035E+06
       4200.0000          1.49075076E+07          3.00281997E+07          1.87568873E+07          1.22361714E+08          6.17785175E+06
       4300.0000          1.60517482E+07          3.22723042E+07          2.01262694E+07          1.31414456E+08          6.64095944E+06
       4400.0000          1.72439982E+07          3.45031969E+07          2.15747772E+07          1.40821111E+08          7.12120655E+06
       4500.0000          1.84192331E+07          3.69579585E+07          2.31169510E+07          1.50739632E+08          7.61956408E+06
       4600.0000          1.97495257E+07          3.95177626E+07          2.47145069E+07          1.61228803E+08          8.15636502E+06
       4700.0000          2.11090174E+07          4.22949301E+07          2.63621899E+07          1.72071860E+08          8.71374217E+06
       4800.0000          2.25386784E+07          4.51230784E+07          2.80940980E+07          1.83572660E+08          9.29610961E+06
       4900.0000          2.40669600E+07          4.80532025E+07          2.98908818E+07          1.95389761E+08          9.90746414E+06
       5000.0000          2.56396171E+07          5.11433699E+07          3.17854526E+07          2.08074827E+08          1.05460852E+07
       5100.0000          2.71565587E+07          5.42206882E+07          3.36656420E+07          2.20629257E+08          1.11728065E+07
       5200.0000          2.88947957E+07          5.78367614E+07          3.58858936E+07          2.34236448E+08          1.18999958E+07
       5300.0000          3.06553378E+07          6.12667210E+07          3.79825188E+07          2.48323155E+08          1.26107010E+07
       5400.0000          3.24860090E+07          6.46256153E+07          4.00303344E+07          2.62731045E+08          1.33256130E+07
       5500.0000          3.44067625E+07          6.86710529E+07          4.25037828E+07          2.78077002E+08          1.41343407E+07
       5600.0000          3.64152119E+07          7.25634069E+07          4.48777966E+07          2.94293361E+08          1.49425892E+07
       5700.0000          3.85156632E+07          7.65289082E+07          4.71749509E+07          3.10973392E+08          1.57619764E+07
       5800.0000          4.06294457E+07          8.06035960E+07          4.99389940E+07          3.27557411E+08          1.66399269E+07
       5900.0000          4.30936385E+07          8.53867141E+07          5.25632262E+07          3.45181647E+08          1.75937277E+07
       6000.0000          4.51880786E+07          8.98430007E+07          5.52672835E+07          3.63688295E+08          1.84830063E+07
       6100.0000          4.77877607E+07          9.44146923E+07          5.81103517E+07          3.82937269E+08          1.94789522E+07
       6200.0000          5.02455302E+07          9.92362865E+07          6.10761541E+07          4.02473103E+08          2.04763339E+07
       6300.0000          5.27482545E+07          1.04277848E+08          6.41607859E+07          4.23641128E+08          2.15081191E+07
       6400.0000          5.54607231E+07          1.09531498E+08          6.76353071E+07          4.44391243E+08          2.26264725E+07
       6500.0000          5.81386253E+07          1.15531866E+08          7.07717951E+07          4.65560428E+08          2.37339361E+07
       6600.0000          6.12108134E+07          1.20847447E+08          7.40558303E+07          4.88506339E+08          2.48989970E+07
       6700.0000          6.40927931E+07          1.26403688E+08          7.75450105E+07          5.12070501E+08          2.60673728E+07
       6800.0000          6.70807656E+07          1.32338849E+08          8.10706761E+07          5.36106858E+08          2.72747265E+07
       6900.0000          7.05324747E+07          1.38328064E+08          8.51412578E+07          5.61334332E+08          2.86256423E+07
       7000.0000          7.37066316E+07          1.44482112E+08          8.87750958E+07          5.86869813E+08          2.98891578E+07
       7100.0000          7.70427257E+07          1.51070084E+08          9.27622990E+07          6.13220755E+08          3.12400122E+07
       7200.0000          8.05224321E+07          1.57870426E+08          9.68938832E+07          6.39978053E+08          3.26409846E+07
       7300.0000          8.39691212E+07          1.65328309E+08          1.00945669E+08          6.67551042E+08          3.40575763E+07
       7400.0000          8.79873330E+07          1.72198450E+08          1.05725986E+08          6.97316078E+08          3.56315594E+07
