#Energy      Li   F  Total
      14000.0000          1.20241892E+03          3.46912953E+02          2.69235214E+02
      15000.0000          1.28438516E+03          3.70091155E+02          2.87305163E+02
      16000.0000          1.36587925E+03          3.93122630E+02          3.05262916E+02
      17000.0000          1.44690533E+03          4.16009951E+02          3.23110246E+02
      18000.0000          1.52746745E+03          4.38755450E+02          3.40848776E+02
      19000.0000          1.60756954E+03          4.61361269E+02          3.58480003E+02
      20000.0000          1.68721544E+03          4.83829386E+02          3.76005322E+02
      21000.0000          1.76640889E+03          5.06161646E+02          3.93426042E+02
      22000.0000          1.84515359E+03          5.28359779E+02          4.10743396E+02
      23000.0000          1.92345313E+03          5.50425419E+02          4.27958557E+02
      24000.0000          2.00131107E+03          5.72360115E+02          4.45072642E+02
      25000.0000          2.07873091E+03          5.94165342E+02          4.62086720E+02
      26000.0000          2.15571609E+03          6.15842512E+02          4.79001819E+02
      27000.0000          2.23226999E+03          6.37392981E+02          4.95818930E+02
      28000.0000          2.30839596E+03          6.58818053E+02          5.12539010E+02
      29000.0000          2.38409730E+03          6.80118988E+02          5.29162987E+02
      30000.0000          2.45937727E+03          7.01297004E+02          5.45691761E+02
      31000.0000          2.53423909E+03          7.22353283E+02          5.62126210E+02
      32000.0000          2.60868594E+03          7.43288974E+02          5.78467186E+02
      33000.0000          2.68272096E+03          7.64105194E+02          5.94715523E+02
      34000.0000          2.75634725E+03          7.84803034E+02          6.10872036E+02
      35000.0000          2.82956788E+03          8.05383557E+02          6.26937521E+02
      36000.0000          2.90238590E+03          8.25847802E+02          6.42912759E+02
      37000.0000          2.97480430E+03          8.46196786E+02          6.58798514E+02
      38000.0000          3.04682606E+03          8.66431505E+02          6.74595537E+02
      39000.0000          3.11845412E+03          8.86552935E+02          6.90304565E+02
      40000.0000          3.18969138E+03          9.06562034E+02          7.05926322E+02
      41000.0000          3.26054074E+03          9.26459743E+02          7.21461521E+02
      42000.0000          3.33100504E+03          9.46246984E+02          7.36910861E+02
      43000.0000          3.40108710E+03          9.65924667E+02          7.52275034E+02
      44000.0000          3.47078972E+03          9.85493685E+02          7.67554717E+02
      45000.0000          3.54011566E+03          1.00495492E+03          7.82750581E+02
      46000.0000          3.60906766E+03          1.02430923E+03          7.97863284E+02
      47000.0000          3.67764844E+03          1.04355747E+03          8.12893478E+02
      48000.0000          3.74586069E+03          1.06270048E+03          8.27841804E+02
      49000.0000          3.81370705E+03          1.08173909E+03          8.42708894E+02
      50000.0000          3.88119018E+03          1.10067412E+03          8.57495375E+02
