#Energy      Li-K-shell   F-K-shell   Valence  Total
        220.0000          1.06100611E+02          1.00000000E+30          6.41256174E+00          6.04708499E+00
        230.0000          1.04257629E+02          1.00000000E+30          6.57839749E+00          6.18795302E+00
        240.0000          1.02881894E+02          1.00000000E+30          6.74395126E+00          6.32907757E+00
        250.0000          1.01883585E+02          1.00000000E+30          6.90311578E+00          6.46507504E+00
        260.0000          1.01193566E+02          1.00000000E+30          7.07407942E+00          6.61186747E+00
        270.0000          1.00757890E+02          1.00000000E+30          7.23861397E+00          6.75343593E+00
        280.0000          1.00533987E+02          1.00000000E+30          7.40278112E+00          6.89506564E+00
        290.0000          1.00487892E+02          1.00000000E+30          7.57180290E+00          7.04124245E+00
        300.0000          1.00592231E+02          1.00000000E+30          7.73501948E+00          7.18270669E+00
        310.0000          1.00824733E+02          1.00000000E+30          7.90276763E+00          7.32836156E+00
        320.0000          1.01167126E+02          1.00000000E+30          8.06984237E+00          7.47368562E+00
        330.0000          1.01604293E+02          1.00000000E+30          8.23626527E+00          7.61867859E+00
        340.0000          1.02123638E+02          1.00000000E+30          8.40205756E+00          7.76334118E+00
        350.0000          1.02714589E+02          1.00000000E+30          8.56723996E+00          7.90767495E+00
        360.0000          1.03368224E+02          1.00000000E+30          8.73183262E+00          8.05168220E+00
        370.0000          1.04076958E+02          1.00000000E+30          8.89585495E+00          8.19536575E+00
        380.0000          1.04834313E+02          1.00000000E+30          9.05932565E+00          8.33872895E+00
        390.0000          1.05634724E+02          1.00000000E+30          9.22630438E+00          8.48519407E+00
        400.0000          1.06473393E+02          1.00000000E+30          9.38862329E+00          8.62783688E+00
        410.0000          1.07346156E+02          1.00000000E+30          9.55433590E+00          8.77345523E+00
        420.0000          1.08249388E+02          1.00000000E+30          9.71557777E+00          8.91540417E+00
        430.0000          1.09179923E+02          1.00000000E+30          9.88010063E+00          9.06020840E+00
        440.0000          1.10134978E+02          1.00000000E+30          1.00440313E+01          9.20459553E+00
        450.0000          1.11112107E+02          1.00000000E+30          1.02037370E+01          9.34551238E+00
        460.0000          1.12109148E+02          1.00000000E+30          1.03665816E+01          9.48913418E+00
        470.0000          1.13124179E+02          1.00000000E+30          1.05288834E+01          9.63236388E+00
        480.0000          1.14155497E+02          1.00000000E+30          1.06906576E+01          9.77520959E+00
        490.0000          1.15201583E+02          1.00000000E+30          1.08519185E+01          9.91767924E+00
        500.0000          1.16261076E+02          1.00000000E+30          1.10126803E+01          1.00597806E+01
        510.0000          1.17332758E+02          1.00000000E+30          1.11729564E+01          1.02015214E+01
        520.0000          1.18415533E+02          1.00000000E+30          1.13327596E+01          1.03429089E+01
        530.0000          1.19508418E+02          1.00000000E+30          1.14921024E+01          1.04839505E+01
        540.0000          1.20610522E+02          1.00000000E+30          1.16509965E+01          1.06246532E+01
        550.0000          1.21721039E+02          1.00000000E+30          1.18094534E+01          1.07650239E+01
        560.0000          1.22839241E+02          1.00000000E+30          1.19674840E+01          1.09050691E+01
        570.0000          1.23964465E+02          1.00000000E+30          1.21282043E+01          1.10473721E+01
        580.0000          1.25096109E+02          1.00000000E+30          1.22853707E+01          1.11867485E+01
        590.0000          1.26233625E+02          1.00000000E+30          1.24421414E+01          1.13258189E+01
        600.0000          1.27376511E+02          1.00000000E+30          1.25985259E+01          1.14645891E+01
        610.0000          1.28524310E+02          1.00000000E+30          1.27575042E+01          1.16055236E+01
        620.0000          1.29676604E+02          1.00000000E+30          1.29131020E+01          1.17436754E+01
        630.0000          1.30833008E+02          1.00000000E+30          1.30712603E+01          1.18839582E+01
        640.0000          1.31993169E+02          1.00000000E+30          1.32261052E+01          1.20215140E+01
        650.0000          1.33156765E+02          1.00000000E+30          1.33806075E+01          1.21587986E+01
        660.0000          1.34323496E+02          1.00000000E+30          1.35376028E+01          1.22981511E+01
        670.0000          1.35493087E+02          1.00000000E+30          1.36913997E+01          1.24348721E+01
        680.0000          1.36665288E+02          1.00000000E+30          1.38476565E+01          1.25736293E+01
        690.0000          1.37839861E+02          1.00000000E+30          1.40007766E+01          1.27098063E+01
        693.9990          1.38310189E+02          1.00000000E+30          1.40641267E+01          1.27660099E+01
        694.0010          1.38310424E+02          1.94407956E+12          1.40641584E+01          1.27660380E+01
        700.0000          1.39016593E+02          2.68816627E+07          1.41563231E+01          1.28479820E+01
        710.0000          1.40195283E+02          6.13770856E+06          1.43115209E+01          1.29858584E+01
        720.0000          1.41375745E+02          2.93478233E+06          1.44636562E+01          1.31212069E+01
        730.0000          1.42557809E+02          1.78309419E+06          1.46181824E+01          1.32585170E+01
        740.0000          1.43741314E+02          1.22290728E+06          1.47697061E+01          1.33933508E+01
        750.0000          1.44926113E+02          9.02364271E+05          1.49235853E+01          1.35301148E+01
        760.0000          1.45992694E+02          6.99575820E+05          1.50771414E+01          1.36655599E+01
        770.0000          1.47215480E+02          5.61837793E+05          1.52277747E+01          1.37999519E+01
        780.0000          1.48436236E+02          4.63546429E+05          1.53807193E+01          1.39362097E+01
        790.0000          1.49654988E+02          3.90562118E+05          1.55333563E+01          1.40721823E+01
        800.0000          1.50720267E+02          3.34691624E+05          1.56856943E+01          1.42065324E+01
        810.0000          1.51936250E+02          2.90852087E+05          1.58352043E+01          1.43398825E+01
        820.0000          1.53150299E+02          2.55730190E+05          1.59869693E+01          1.44750507E+01
        830.0000          1.54362441E+02          2.27095792E+05          1.61384485E+01          1.46099533E+01
        840.0000          1.55572702E+02          2.03403364E+05          1.62896503E+01          1.47445975E+01
        850.0000          1.56781108E+02          1.83552928E+05          1.64381098E+01          1.48769647E+01
        860.0000          1.57987684E+02          1.66737080E+05          1.65887725E+01          1.50111066E+01
        870.0000          1.59192457E+02          1.52346432E+05          1.67391671E+01          1.51449988E+01
        880.0000          1.60255186E+02          1.39924569E+05          1.68893003E+01          1.52773733E+01
        890.0000          1.61457520E+02          1.29121128E+05          1.70391765E+01          1.54107884E+01
        900.0000          1.62658121E+02          1.19655835E+05          1.71887985E+01          1.55439664E+01
        910.0000          1.63857013E+02          1.11311644E+05          1.73381690E+01          1.56769095E+01
        920.0000          1.65054221E+02          1.03913472E+05          1.74872906E+01          1.58096203E+01
        930.0000          1.66249769E+02          9.73201125E+04          1.76337971E+01          1.59401658E+01
        940.0000          1.67443683E+02          9.14149399E+04          1.77824405E+01          1.60724295E+01
        950.0000          1.68635984E+02          8.61035793E+04          1.79308474E+01          1.62044722E+01
        960.0000          1.69826697E+02          8.13060794E+04          1.80790210E+01          1.63362965E+01
        970.0000          1.71015845E+02          7.69566547E+04          1.82269642E+01          1.64679052E+01
        980.0000          1.72203449E+02          7.30001883E+04          1.83746796E+01          1.65993009E+01
        990.0000          1.73389534E+02          6.93877223E+04          1.85221703E+01          1.67304862E+01
       1000.0000          1.74574122E+02          6.60813967E+04          1.86694390E+01          1.68614638E+01
       1100.0000          1.86459933E+02          4.40954158E+04          2.01326998E+01          1.81632594E+01
       1200.0000          1.98312241E+02          3.27675029E+04          2.15764600E+01          1.94477323E+01
       1300.0000          2.10023962E+02          2.61195569E+04          2.30048679E+01          2.07173560E+01
       1400.0000          2.21711954E+02          2.18803717E+04          2.44174937E+01          2.19730459E+01
       1500.0000          2.33376223E+02          1.90197695E+04          2.58177069E+01          2.32176881E+01
       1600.0000          2.44828826E+02          1.70095706E+04          2.72066236E+01          2.44504564E+01
       1700.0000          2.56272269E+02          1.55539347E+04          2.85833031E+01          2.56727202E+01
       1800.0000          2.67705710E+02          1.44757313E+04          2.99486842E+01          2.68853522E+01
       1900.0000          2.79043851E+02          1.36634014E+04          3.13052436E+01          2.80895841E+01
       2000.0000          2.90293712E+02          1.30438001E+04          3.26504356E+01          2.92835077E+01
