#Energy      Ga   Sb  Total
       8000.0000          2.26039182E+02          2.02754488E+02          1.06882311E+02
       8100.0000          2.28203467E+02          2.04348976E+02          1.07809228E+02
       8200.0000          2.30363448E+02          2.05938740E+02          1.08733716E+02
       8300.0000          2.32519183E+02          2.07523842E+02          1.09655810E+02
       8400.0000          2.34670728E+02          2.09104343E+02          1.10575541E+02
       8500.0000          2.36818137E+02          2.10680303E+02          1.11492940E+02
       8600.0000          2.38961464E+02          2.12251780E+02          1.12408039E+02
       8700.0000          2.41100759E+02          2.13818832E+02          1.13320867E+02
       8800.0000          2.43236075E+02          2.15381514E+02          1.14231454E+02
       8900.0000          2.45367459E+02          2.16939881E+02          1.15139827E+02
       9000.0000          2.47494959E+02          2.18493987E+02          1.16046015E+02
       9100.0000          2.49618623E+02          2.20043884E+02          1.16950045E+02
       9200.0000          2.51738495E+02          2.21589624E+02          1.17851943E+02
       9300.0000          2.53854619E+02          2.23131257E+02          1.18751735E+02
       9400.0000          2.55967040E+02          2.24668831E+02          1.19649446E+02
       9500.0000          2.58075798E+02          2.26202395E+02          1.20545101E+02
       9600.0000          2.60180935E+02          2.27731997E+02          1.21438724E+02
       9700.0000          2.62282492E+02          2.29257681E+02          1.22330339E+02
       9800.0000          2.64380506E+02          2.30779495E+02          1.23219968E+02
       9900.0000          2.66475018E+02          2.32297481E+02          1.24107635E+02
      10000.0000          2.68566063E+02          2.33811683E+02          1.24993361E+02
      10370.9990          2.76294132E+02          2.39396994E+02          1.28262794E+02
      10371.0010          2.76294173E+02          2.39397024E+02          1.28262812E+02
      11000.0000          2.89293503E+02          2.48754532E+02          1.33748411E+02
      12000.0000          3.09709758E+02          2.63360836E+02          1.42330494E+02
      13000.0000          3.29841095E+02          2.77662233E+02          1.50755413E+02
      14000.0000          3.49709138E+02          2.91685169E+02          1.59036287E+02
      15000.0000          3.69331967E+02          3.05452001E+02          1.67184156E+02
      16000.0000          3.88724903E+02          3.18981823E+02          1.75208421E+02
      17000.0000          4.07901079E+02          3.32291092E+02          1.83117169E+02
      18000.0000          4.26871871E+02          3.45394117E+02          1.90917424E+02
      19000.0000          4.45647224E+02          3.58303431E+02          1.98615336E+02
      20000.0000          4.64235908E+02          3.71030090E+02          2.06216332E+02
      21000.0000          4.82645710E+02          3.83583909E+02          2.13725234E+02
      22000.0000          5.00883593E+02          3.95973655E+02          2.21146350E+02
      23000.0000          5.18955825E+02          4.08207198E+02          2.28483554E+02
      24000.0000          5.36868074E+02          4.20291638E+02          2.35740347E+02
      25000.0000          5.54625499E+02          4.32233413E+02          2.42919904E+02
      26000.0000          5.72232815E+02          4.44038381E+02          2.50025125E+02
      27000.0000          5.89694349E+02          4.55711899E+02          2.57058662E+02
      28000.0000          6.07014091E+02          4.67258877E+02          2.64022954E+02
      29000.0000          6.24195733E+02          4.78683837E+02          2.70920250E+02
      30000.0000          6.41242705E+02          4.89990954E+02          2.77752631E+02
      30495.9990          6.49649016E+02          4.95556756E+02          2.81118002E+02
      30496.0010          6.49649050E+02          4.95556779E+02          2.81118016E+02
      31000.0000          6.58158200E+02          5.01184094E+02          2.84522028E+02
      32000.0000          6.74945204E+02          5.12266848E+02          2.91230241E+02
      33000.0000          6.91606518E+02          5.23242560E+02          2.97878948E+02
      34000.0000          7.08144770E+02          5.34114353E+02          3.04469719E+02
      35000.0000          7.24562441E+02          5.44885148E+02          3.11004027E+02
      36000.0000          7.40861872E+02          5.55557685E+02          3.17483260E+02
      37000.0000          7.57045280E+02          5.66134541E+02          3.23908720E+02
      38000.0000          7.73114767E+02          5.76618141E+02          3.30281641E+02
      39000.0000          7.89072334E+02          5.87010773E+02          3.36603188E+02
      40000.0000          8.04919884E+02          5.97314601E+02          3.42874465E+02
      41000.0000          8.20659235E+02          6.07531673E+02          3.49096521E+02
      42000.0000          8.36292122E+02          6.17663933E+02          3.55270353E+02
      43000.0000          8.51820208E+02          6.27713225E+02          3.61396909E+02
      44000.0000          8.67245087E+02          6.37681307E+02          3.67477096E+02
      45000.0000          8.82568289E+02          6.47569849E+02          3.73511776E+02
      46000.0000          8.97791284E+02          6.57380449E+02          3.79501778E+02
      47000.0000          9.12915489E+02          6.67114630E+02          3.85447892E+02
      48000.0000          9.27942268E+02          6.76773850E+02          3.91350878E+02
      49000.0000          9.42872939E+02          6.86359504E+02          3.97211463E+02
      50000.0000          9.57708774E+02          6.95872930E+02          4.03030349E+02
